01;OBECNÁ TŘÍDA
02;STROJNÍ SOUČÁSTI
03;STROJNÍ SOUČÁSTI - KOROZE A OCHRANA MATERIÁLU
04;SLÉVÁRENSTVÍ
05;SVAŘOVÁNÍ, PÁJENÍ, ŘEZÁNÍ KOVŮ A PLASTŮ
06;TOPENÍ, PRŮMYSLOVÉ PECE, VAŘIDLA A TOPIDLA
07;KOTLE
08;TURBÍNY
09;SPALOVACÍ MOTORY PÍSTOVÉ
10;KOMPRESORY, VAKUOVÁ TECHNIKA A PNEUMATICKÁ ZAŘÍZENÍ
11;ČERPADLA, HYDRAULICKÁ ZAŘÍZENÍ
12;VZDUCHOTECHNICKÁ ZAŘÍZENÍ
13;ARMATURY A POTRUBÍ
14;CHLADICÍ TECHNIKA
15;VÝROBKY Z PLECHU A DRÁTU
16;VÝROBKY Z PLECHU A DRÁTU
17;JEMNÁ MECHANIKA
18;PRŮMYSLOVÁ AUTOMATIZACE
19;OPTICKÉ PŘÍSTROJE, ZAŘÍZENÍ PRO KINEMATOGRAFII A REPROGRAFII
20;OBRÁBĚCÍ STROJE NA KOVY
21;TVÁŘECÍ STROJE
22;NÁSTROJE
23;NÁŘADÍ
24;UPÍNACÍ NÁŘADÍ
25;MĚŘICÍ A KONTROLNÍ NÁŘADÍ A PŘÍSTROJE
26;ZAŘÍZENÍ DOPRAVNÍ A PRO MANIPULACI S MATERIÁLEM
27;ZDVIHACÍ ZAŘÍZENÍ, STROJE PRO POVRCHOVOU TĚŽBU, STROJE A ZAŘÍZENÍ PRO ZEMNÍ, STAVEBNÍ A SILNIČNÍ PRÁCE
28;KOLEJOVÁ VOZIDLA
29;KOLEJOVÁ VOZIDLA
30;SILNIČNÍ VOZIDLA
31;LETECTVÍ A KOSMONAUTIKA
32;LODĚ A PLOVOUCÍ ZAŘÍZENÍ
33;ELEKTROTECHNIKA - ELEKTROTECHNICKÉ PŘEDPISY
34;ELEKTROTECHNIKA
35;ELEKTROTECHNIKA
36;ELEKTROTECHNIKA
37;ELEKTROTECHNIKA - ENERGETIKA
38;ENERGETIKA - POŽÁRNÍ BEZPEČNOST
39;ZBRANĚ PRO CIVILNÍ POTŘEBU
40;JADERNÁ TECHNIKA
41;HUTNICTVÍ - MATERIÁLOVÉ LISTY OCELÍ
42;HUTNICTVÍ
43;HUTNICTVÍ - STROJNÍ ZAŘÍZENÍ
44;HORNICTVÍ
45;HLUBINNÉ VRTÁNÍ A TĚŽBA NAFTY
46;ZEMĚDĚLSTVÍ
47;ZEMĚDĚLSKÉ A LESNICKÉ STROJE
48;LESNICTVÍ
49;PRŮMYSL DŘEVOZPRACUJÍCÍ
50;PRŮMYSL PAPÍRENSKÝ
51;STROJNÍ ZAŘÍZENÍ POTRAVINÁŘSKÉHO PRŮMYSLU
52;STROJNÍ ZAŘÍZENÍ POTRAVINÁŘSKÉHO PRŮMYSLU
53;STROJNÍ ZAŘÍZENÍ POTRAVINÁŘSKÉHO PRŮMYSLU
56;VÝROBKY POTRAVINÁŘSKÉHO PRŮMYSLU
57;VÝROBKY POTRAVINÁŘSKÉHO PRŮMYSLU
58;VÝROBKY POTRAVINÁŘSKÉHO PRŮMYSLU
62;PRŮMYSL GUMÁRENSKÝ, PRYŽ
63;PRŮMYSL GUMÁRENSKÝ, PRYŽOVÉ VÝROBKY
64;PLASTY
65;VÝROBKY CHEMICKÉHO PRŮMYSLU
66;VÝROBKY CHEMICKÉHO PRŮMYSLU
67;VÝROBKY CHEMICKÉHO PRŮMYSLU
68;VÝROBKY CHEMICKÉHO PRŮMYSLU
69;STROJNÍ ZAŘÍZENÍ CHEMICKÉHO PRŮMYSLU
70;VÝROBKY ZE SKLA A TAVENÝCH HORNIN
71;SKLO A TAVENÉ HORNINY - MATERIÁLOVÉ LISTY A VÝROBNÍ ZAŘÍZENÍ
72;STAVEBNÍ SUROVINY, MATERIÁLY A VÝROBKY
73;NAVRHOVÁNÍ A PROVÁDĚNÍ STAVEB
74;ČÁSTI STAVEB
75;VODNÍ HOSPODÁŘSTVÍ
76;Služby
77;OBALY A OBALOVÁ TECHNIKA
79;PRŮMYSL KOŽEDĚLNÝ
80;TEXTILNÍ SUROVINY A VÝROBKY
81;STROJNÍ ZAŘÍZENÍ TEXTILNÍHO PRŮMYSLU
82;STROJE A ZAŘÍZENÍ PRO ÚPRAVU POVRCHU
83;OCHRANA ŽIVOTNÍHO PROSTŘEDÍ, PRACOVNÍ A OSOBNÍ OCHRANA, BEZPEČNOST STROJNÍCH ZAŘÍZENÍ A ERGONOMIE
84;ZDRAVOTNICTVÍ
85;ZDRAVOTNICTVÍ
86;ZDRAVOTNICTVÍ
87;TELEKOMUNIKACE
88;PRŮMYSL POLYGRAFICKÝ
89;HUDEBNÍ NÁSTROJE
90;KANCELÁŘSKÉ, ŠKOLNÍ A KRESLICÍ POTŘEBY
91;VNITŘNÍ ZAŘÍZENÍ
93;VÝSTROJNÉ ZBOŽÍ
94;VÝSTROJNÉ ZBOŽÍ
95;VÝSTROJNÉ ZBOŽÍ
96;Kulturní dědictví
97;VÝMĚNA DAT
98;ZDRAVOTNICKÁ INFORMATIKA
99;METROLOGIE
01 00;Seznamy a předpisy o normách
01 01;Pojmy všech oborů a třídění
01 02;Vyvolená čísla, normální rozměry, statistické řízení jakosti apod.
01 03;Jakost
01 04;Formáty a písmo
01 05;Všeobecná terminologie
01 06;Oblast spolehlivosti v technice
01 08;Systémy managementu bezpečnosti a ochrany zdraví při práci
01 09;Systémy environmentálního managementu
01 10;Matematika
01 13;Fyzika
01 14;Mechanika
01 15;Management hospodaření s energií
01 16;Akustika
01 17;Optika
01 20;Nanotechnologie
01 23;Ochrana společnosti a obyvatel
01 27;Směrnice pro užití barev
01 28;Analytické normály
01 30;Všeobecné požadavky na technickou dokumentaci
01 31;Technické výkresy
01 32;Výkresy ve strojírenství
01 33;Značky pro elektrotechnická schémata
01 34;Výkresy ve stavebnictví
01 35;Výkresy různých oborů
01 36;Výkresy různých oborů
01 37;Dokumentační normy. Průmyslové systémy
01 38;Reprografie
01 39;Projektová a rozpočtová dokumentace
01 40;Závity
01 41;Nejistoty měření
01 42;Tolerance a uložení hladkých součástí
01 43;Tolerance a uložení závitových součástí
01 44;Tolerance tvaru a polohy, geometrie povrchu
01 46;Výpočtové hodnoty ozubených čelních kol
01 47;Výpočtové hodnoty ozubených kuželových a šnekových kol
01 48;Výpočtové hodnoty ozubených řetězových kol
01 49;Konstrukční směrnice (zaoblení, sražení hran, střední důlky, rýhování, vroubkování, drážkování, zápichy, přídavky na obrábění)
01 50;Všeobecné zkušební metody (pro víceúčelové použití)
01 51;Všeobecné zkušební metody (pro víceúčelové použití)
01 52;Oblast zkušebnictví, akreditace, certifikace
01 59;Mazací technika
01 63;Jednotný systém technologické přípravy výroby ve strojírenství
01 69;Mechanizace administrativních prací
01 70;Konstrukční a montážní směrnice
01 80;Značení bezpečnostní, informační, orientační
01 81;Úklidové služby
01 82;Dopravní telematika
01 83;Dopravní telematika
01 84;Dopravní telematika
01 85;Doprava
01 93;Značky
02 00;Balení, dodávání a značení spojovacích součástí
02 10;Šrouby, matice, podložky. Část obecná
02 11;Šrouby přesné a střední
02 12;Šrouby přesné a střední (speciální)
02 13;Šrouby hrubé
02 14;Matice přesné
02 15;Matice přesné a střední (speciální)
02 16;Matice hrubé
02 17;Zajištění a příslušenství šroubů
02 18;Vruty a různé součásti se závitem do dřeva
02 19;Různé závitové součásti
02 20;Čepy, kolíky, svorníky a nýty
02 21;Čepy, kolíky, svorníky a nýty
02 23;Nýty
02 25;Klíny a pera
02 27;Upevňovací a zajišťovací součásti
02 28;Hřebíky
02 29;Stavěcí a pojistné kroužky
02 30;Kluzná ložiska. Část obecná
02 31;Součásti pohonů
02 32;Svařovací řetězy, zkoušené, nezkoušené
02 33;Svařovací řetězy, zkoušené, nezkoušené
02 34;Kluzná ložiska
02 35;Speciální ložiska
02 36;Příslušenství valivých ložisek
02 37;Ložiska pro letectví a kosmonautiku
02 39;Různé
02 42;Lana z neželezných kovů
02 43;Lana ocelová
02 44;Lana a jejich příslušenství
02 46;Valivá ložiska
02 47;Valivá ložiska
02 48;Tělesa a víka ložisek
02 50;Štítky, všeobecně
02 51;Rukojeti, držadla, tlačítka
02 52;Ruční kola, kliky
02 58;Štítky
02 60;Pružiny
02 61;Pružiny
02 62;Hřídelové spojky - mechanické neovládané
02 64;Spojky
02 65;Spojky
02 70;Součásti pístových strojů
02 72;Teploměrové jímky a jejich součásti
02 74;Součásti pro mazací zařízení
02 77;Spékané filtry
02 83;Ohebné hadice
02 84;Ohebné hadice, hřídele a příslušenství
02 85;Ohebné hadice, hřídele a příslušenství
02 89;Příslušenství základů, tlumení otřesů a vibrací
02 90;Těsnění, všeobecně
02 92;Těsnění výplňové a tvářené
02 93;Těsnění kroužkové a jiné
02 94;Těsnění tvarové
02 95;Součásti pro těsnění
03 10;Převodovky, všeobecně
03 16;Mechanické převodovky pro pohon vozidel, letadel a strojů pro zemní práce
03 18;Variátory
03 80;Ochrana proti korozi, všeobecně
03 81;Zkoušení koroze
03 82;Oblasti koroze
03 83;Oblasti koroze
03 84;Dočasná ochrana. Inhibitory koroze
03 85;Ochranné vrstvy kovové
03 86;Ochranné vrstvy anorganické nekovové
03 87;Ochranné vrstvy organické a kombinované
03 88;Ochrana proti prostředím
03 89;Třídění vnějšího prostředí
03 90;Ochrana průmyslových zařízení systémem organických povlaků a obkladů
04 00;Slévárenství, všeobecně
04 20;Modely a příslušenství
04 21;Modely a příslušenství
04 23;Kovové modely s příslušenstvím
04 27;Zkoušení písků a slévárenských přípravků
04 28;Formovací hmoty
04 40;Formátování, všeobecně
04 43;Formátovací rámy a příslušenství
04 65;Tlakové, kokilové nízkotlaké lití
05 00;Svařování, všeobecně
05 01;Svařování. Konstrukční předpisy a směrnice pro kovy
05 02;Svařování. Výrobní směrnice a předpisy pro kovy
05 03;Svařování. Výrobní předpisy z hlediska vybavení pracovišť a kvalifikace svářečů
05 06;Bezpečnost svařování
05 07;Zkoušení svářečů
05 10;Rozbory škodlivin
05 11;Destruktivní a nedestruktivní zkoušky svarů
05 12;Zkoušení svarů
05 13;Zkoušení svařitelnosti
05 20;Stroje a zařízení, všeobecně
05 21;Ruční a strojové svařování plamenem
05 22;Obloukové svařování
05 23;Obloukové svářečky
05 24;Svařování elektrickým obloukem a plazmou
05 25;Svařování v ochranných atmosférách
05 26;Svařování elektrickým odporem bodové
05 27;Švové odporové svařování
05 28;Třecí svařování
05 34;Řezání a drážkování
05 42;Pomocné stroje a zařízení pro svařování, pájení a řezání kovůd
05 46;Hořáky a příslušenství pro svařování
05 50;Elektrody svařovací
05 51;Elektrody svařovací
05 52;Elektrody svařovací
05 53;Dráty a tyčinky svařovací
05 54;Dráty a tyčinky svařovací
05 55;Plněné trubičkové elektrody
05 56;Pájky
05 57;Tavidla
05 58;Svařování ocelí pod tavidlem
05 59;Tvrdé pájení
05 68;Svařování plastů
05 69;Kombinované svařování, pájení a řezání
06 00;Topení, průmyslové pece, všeobecně
06 02;Ústřední vytápění, výpočty a projektování
06 03;Ústřední vytápění, výpočty a projektování
06 04;Ústřední vytápění, výpočty a vyhodnocení
06 08;Ústřední vytápění, obsluha, provoz a bezpečnost
06 10;Základní předpisy pro spotřebiče
06 11;Otopná tělesa a příslušenství pro ústřední vytápění
06 12;Topná a varná zařízení na pevná paliva
06 13;Topná a varná zařízení na kapalná paliva
06 14;Topná a varná zařízení na plynná paliva pro domácnost
06 15;Topná a varná zařízení na paliva kombinovaná
06 16;Topná a varná zařízení. Společné součásti
06 18;Spotřebiče na plynná paliva, bezpečnostní a regulační prvky
06 19;Topná a varná zařízení na plynná paliva pro průmyslové použití
06 30;Palivové pece, všeobecně
06 43;Palivové pece, hořáky a topné články
06 50;Průmyslová tepelná zařízení
06 87;Vařidla a topidla na pevná paliva a jejich součásti
07 00;Názvosloví, hodnoty, výkony a typy kotlů
07 02;Názvosloví, hodnoty, výkony a typy kotlů
07 03;Tepelné aerodynamické a hydrodynamické zkoušky a výpočty
07 04;Pevnostní hodnoty a výpočty
07 06;Směrnice konstrukční, výrobní, montážní, provozní a pro opravy
07 07;Směrnice konstrukční, výrobní, montážní, provozní a pro opravy
07 40;Mlýny a třídiče
07 53;Kotle pro ústřední vytápění
07 58;Hořáky na plynná a kapalná paliva
07 60;Ohřívače vzduchu
07 64;Regulace spalovacího vzduchu
07 70;Odstruskovací a odpopelňovací zařízení
07 74;Napájecí voda
07 75;Kotle a pomocná zařízení kotlů
07 76;Vodotrubné kotle
07 77;Balené kotle
07 78;Válcové kotle
07 81;Typy a druhy tlakových nádob
07 82;Stabilní tlakové nádoby
07 83;Kovové tlakové nádoby k dopravě plynů
07 84;Kovové tlakové nádoby k dopravě plynů
07 85;Kovové tlakové nádoby k dopravě plynů
07 86;Kovové lahve na plyny a příslušenství
08 00;Parní turbíny. Terminologie a všeobecně
08 16;Regenerační ohříváky parních turbín
08 19;Ohříváky parních turbín
08 30;Spalovací turbíny. Názvosloví, všeobecná ustanovení, předpisy o zkoušení a přejímání
08 35;Spalovací turbíny. Názvosloví, všeobecná ustanovení, předpisy o zkoušení a přejímání
08 50;Vodní turbíny. Terminologie a všeobecně
08 55;Automatizace vodních elektráren
08 65;Regulace vodních turbín
08 70;Větrné elektrárny
09 00;Všeobecná ustanovení, konstrukční směrnice
09 01;Všeobecná ustanovení, konstrukční směrnice
09 06;Návody, zkoušení, přejímání, dodávání a měřicí metody
09 07;Návody, zkoušení, přejímání, dodávání a měřicí metody
09 08;Návody, zkoušení, přejímání, dodávání a měřicí metody
09 31;Součásti spalovacích pístových motorů
09 35;Součásti spalovacích pístových motorů
09 54;Ovládací ústrojí
09 73;Vstřikovací zařízení
09 77;Příslušenství
10 50;Kompresory, všeobecně
10 51;Kompresory, kompresorové stanice, základní parametry a předpisy
10 60;Ruční mechanizované nářadí
10 70;Vakuová technika - všeobecně a měření ve vakuových systémech
10 72;Stavební prvky pro vakuovou techniku
10 90;Pneumatická zařízení, všeobecně
10 91;Pneumatické válce
10 92;Akumulátory
10 94;Pneumatická šoupátka a ventily
10 95;Příslušenství tlakovzdušných rozvodů, rozdělovače apod.
10 96;Řídicí a upínací elementy
11 00;Čerpadla, všeobecně
11 01;Čerpadla, všeobecné normy konstrukční
11 10;Součásti chránící
11 15;Tvarovky pro čerpadla
11 16;Nádoby, nádrže apod.
11 17;Podvozky, nosítka, základové desky
11 30;Čerpadla odstředivá, všeobecně; čerpadla odstředivá horizontální na studenou vodu
11 31;Čerpadla odstředivá horizontální na horkou vodu
11 33;Čerpadla odstředivá horizontální na ostatní kapaliny
11 55;Čerpadla odstředivá - diagonální a axiální
11 57;Hydrodynamická odstředivá obvodová čerpadla
11 58;Čerpadla odstředivá - čerpací soustrojí
11 67;Čerpadla objemová rotační
11 70;Čerpadla objemová s kmitavým pohybem
11 75;Čerpadla ostatní
11 79;Čerpadla ostatní, čerpací soustrojí
11 80;Průmyslová mazací zařízení. Všeobecně
11 81;Průmyslová mazací zařízení. Všeobecně
11 90;Hydrostatické mechanismy
11 91;Hydrostatické mechanismy
11 92;Hydrostatické mechanismy
11 93;Hydrostatické mechanismy
11 94;Hydrostatické mechanismy
11 95;Hydrostatické mechanismy
11 97;Hydrostatické mechanismy
11 98;Hydrostatické mechanismy
12 00;Rozdělení, směrnice, přehledy
12 05;Potrubí kruhové, čtyřhranné a příslušenství
12 10;Pneumatická doprava, všeobecně
12 20;Ventilátory a dmychadla
12 30;Radiální ventilátory
12 40;Odlučovače
12 50;Filtry a výměníky, všeobecně
12 53;Zařízení pro čisté prostory
12 56;Výměníky povrchové
12 60;Sušárny, všeobecně a celky
12 62;Sušárny, všeobecně a celky
12 70;Větrání, klimatizace, odsávání
12 71;Společné součásti
12 78;Speciální vzduchotechnická zařízení
13 00;Potrubí, všeobecně
13 01;Předpisy a směrnice pro konstrukci, výrobu, montáž, údržbu, přejímání, zkoušení, dodávání apod.
13 03;Součásti potrubí
13 04;Součásti potrubí
13 05;Uložení potrubí
13 07;Uložení potrubí
13 08;Uložení potrubí
13 10;Příruby, všeobecně, předpisy, směrnice pro konstrukci a montáž
13 11;Přírubová hrdla a příruby
13 12;Přírubová hrdla a příruby
13 13;Přírubová hrdla a příruby
13 15;Součásti přírubových spojů (šrouby, matice, podložky, těsnění apod.)
13 18;Různé části potrubí
13 20;Litinové, tlakové trouby a tvarovky včetně smaltovaných
13 21;Litinové odpadní trouby a tvarovky
13 22;Tvarovky T a Y lisované, kované a svařované
13 23;Hrdla, kolena, přechody
13 26;Ohyby trubkové hladké a záhybové
13 27;Kompenzátory
13 28;Odvodňovače
13 30;Armatury průmyslové, všeobecně
13 32;Termoplastové armatury
13 35;Ventily uzavírací
13 37;Šoupátka
13 38;Šoupátka
13 39;Motýlové uzavírací klapky
13 40;Ventily zpětné
13 41;Kohouty
13 42;Zpětné klapky a koše
13 43;Pojistné ventily
13 45;Ventily regulační
13 47;Regulátory tlaku, hladiny, ventily plovákové
13 48;Samočinné odvaděče kondenzátu
13 53;Ventily uzavírací
13 56;Armatury pro těžbu nafty
13 58;Armatury budov
13 59;Zdravotnětechnické armatury
13 61;Armatury pro technické plyny
13 63;Armatury kanalizační
13 65;Armatury vodárenské
13 66;Armatury protipožární
13 67;Armatury pro kolejová vozidla
13 70;Drobné armatury všeobecně a různé
13 71;Drobné armatury vodovodní
13 72;Drobné armatury vodovodní
13 73;Drobné armatury pro ústřední topení
13 74;Drobné armatury plynovodní
13 75;Drobné armatury přesné
13 76;Šroubení a součásti šroubení
13 77;Šroubení a součásti šroubení
13 78;Šroubení a součásti šroubení
13 79;Šroubení a součásti šroubení
13 81;Trubky a tvarovky z tvárné litiny
13 82;Fitinky z temperované litiny a ocelové
13 83;Fitinky z temperované litiny a ocelové
13 84;Tvarovky z mědi a slitin mědi
13 87;Potrubí a tvarovky z plastů
13 89;Skleněné trubky a tvarovky
13 93;Armatury z nerezivějících ocelí
13 97;Armatury pro syntetickou chemii
14 01;Chlazení, všeobecně
14 03;Chlazení, všeobecně
14 06;Směrnice a předpisy pro projektování, zkoušení, provoz, obsluhu a údržbu
14 20;Chladicí zařízení a tepelná čerpadla
14 22;Chladicí zařízení
14 27;Chladicí zařízení pro domácnost
14 30;Klimatizátory vzduchu, jednotky pro chlazení kapalin
14 46;Chladiče, výměníky, mezichladiče
14 51;Potrubí, hadice a jiné spojovací části pro nízkotlaká chladiva
14 81;Izolace pro chladírenskou techniku
15 10;Smaltované a plechové nádobí
15 28;Pružinové vložky
15 31;Kovová pletiva, tkaniny a sítě
15 33;Tahokovy a děrované plechy
15 39;Výrobky z drátů
15 61;Drobné výrobky z plechu
15 68;Drobné výrobky z plechu
16 01;Hrubé kovové obaly, bubny
16 02;Jemné kovové obaly
16 23;Obaly kruhové
16 28;Kanystry a konve
16 30;Jemné obaly plechové
16 35;Víčka na obaly
16 51;Zámky stavební
16 53;Zámky nábytkové
16 57;Stavební kování, závěsy dveřní a okenní, závěsové komplety a systémy
16 60;Kování, stavební, okenní, dveřní a nábytkové
16 61;Kování, stavební, okenní, dveřní a nábytkové
16 62;Kování, stavební, okenní, dveřní a nábytkové
16 67;Kování letecké
16 69;Kování bednové, žebříkové a jiné
17 01;Technické kameny
17 10;Hodinářský průmysl
17 62;Pomocné laboratorní přístroje, zařízení a pomůcky
17 70;Váhy, všeobecně
17 78;Závaží vah
17 80;Psací a kalkulační stroje
17 81;Psací a kalkulační stroje
17 92;Počítací stroje
18 00;Terminologie, všeobecně
18 01;Elektrické analogové výrobky a signály
18 02;Konstrukce a bezpečnost elektrických výrobků
18 03;Funkční bezpečnost elektrických a elektronických systémů
18 04;Provozní podmínky výrobků
18 10;Elektrické měřicí převodníky
18 20;Systémy řízení výroby
18 30;Systémy průmyslové automatizace
18 40;Datové sběrnice procesů
18 43;Číslicové řízení strojů
18 50;Pneumatické analogové výrobky
18 52;Pneumatické vysílače
18 53;Pneumatické přístroje
18 56;Pneumatická pomocná zařízení
18 63;Elektrické servopohony
18 65;Průmyslové roboty
18 70;Přímočinné regulátory
18 76;Svitky pro registrační přístroje
18 80;Konstrukční stavebnice pro elektrotechniku
19 00;Optika, všeobecně
19 04;Kontrola měření a zkoušení optických výrobků
19 05;Optické součásti, všeobecně
19 19;Příslušenství optických filtrů a odrazky
19 20;Lasery
19 30;Vlnová optika
19 31;Dalekohledy terestrické, celky
19 40;Geodézie, všeobecně
19 50;Oční optika, obecné požadavky
19 51;Oční optika, brýlová skla a obruby
19 52;Oční optika, kontaktní čočky
19 53;Oční implantáty
19 60;Fotografické přístroje
19 61;Fotografické přístroje
19 66;Zvětšovací přístroje
19 67;Reprografické přístroje a zařízení
19 80;Kinematografie. Značení obalů
19 82;Kinematografické snímací filmové přístroje a zařízení na 16 mm
19 83;Kinematografické promítací filmové přístroje a zařízení na 16 mm
19 84;Kinematografické snímací filmové přístroje a zařízení na 35 mm
19 85;Kinematografické promítací filmové přístroje a zařízení na 35 mm
19 86;Kinematografické snímací a promítací filmové přístroje a zařízení na 35 mm
19 88;Diaprojektory
19 89;Kinematografie, společné součásti a příslušenství
20 00;Obráběcí stroje, všeobecně
20 02;Názvosloví a třídění
20 03;Přesnost obráběcích strojů
20 04;Základní parametry
20 06;Číslicové řízení obráběcích strojů
20 07;Bezpečnostní předpisy
20 08;Bezpečnost nástrojů, nářadí a zařízení
20 10;Upínání a středění obráběného materiálu
20 15;Upínání a středění nástrojů
20 25;Souřadnicové měřící stroje
20 44;Obráběcí jednotky ostatní (brousicí, superfinišovací, honovací, utahovací)
20 45;Jednotky pohonové, posuvové, včetně posuvových šroubů
20 46;Stavebnicové uzly pro stavbu obráběcích strojů
20 47;Různá zařízení a pomocné součásti obráběcích strojů
20 57;Různá zařízení a pomocné součásti obráběcích strojů
20 58;Různá zařízení a pomocné součásti obráběcích strojů
21 00;Tvářecí stroje, všeobecně
21 02;Názvosloví a třídění
21 03;Přesnost tvářecích strojů
21 04;Hlavní parametry a základní rozměry hydraulických tvářecích strojů
21 06;Hlavní parametry a základní rozměry mechanických tvářecích strojů
21 07;Bezpečnostní předpisy
21 13;Upínání na tvářecích strojích pro plošné tváření
21 14;Upínání na tvářecích strojích pro objemové tváření
21 15;Upínání na tvářecích strojích pro tváření plastů
22 00;Třídění norem třídy 22
22 01;Výrobní a konstrukční směrnice
22 02;Předpisy pro zkoušení, přejímání, použití a údržbu
22 04;Upínací prvky
22 05;Nože s břitovými destičkami SK pro NC stroje
22 06;Příslušenství řezných nástrojů
22 07;Břitové destičky z rychlořezné oceli a z řezné keramiky
22 08;Břitové destičky ze slinutých karbidů
22 09;Břitové destičky ze slinutých karbidů
22 11;Šroubovité vrtáky na kovy, plasty a jiné hmoty
22 13;Nástroje s břitovými destičkami ze slinutých karbidů na díry, zahlubování a zarovnávání
22 14;Výhrubníky a výstružníky
22 16;Záhlubníky, zarovnávací nástroje
22 17;Nože na souřadnicové vrtačky, vyvrtávací tyče a hlavy s noži
22 18;Nástroje protahovací, protlačovací apod.
22 19;Nástroje důlní, na zdivo a kámen
22 20;Frézy, nástroje na ozubení a pily na kovy
22 21;Frézy válcové čelní, kotoučové, drážkovací
22 22;Frézy zaoblovací, úhlové, kuželové a tvarové
