01;OBECNÁ TŘÍDA
22 23;Frézy se vsazenými zuby a frézovací hlavy
22 24;Frézy s břitovými destičkami ze slinutých karbidů
22 25;Nástroje na ozubená kola čelní
22 27;Nástroje na řetězové, drážkové, vrubové a jiné ozubení
22 28;Frézy úhlové a tvarové
22 29;Pilové kotouče a listy na kovy
22 30;Závitníky
22 32;Závitníkové čelisti
22 33;Závitové nože a frézy
22 34;Ostatní závitové nástroje
22 35;Soustružnické nože z nástrojových ocelí
22 36;Soustružnické, revolverové, automatové, hoblovací a obráběcí nože
22 37;Nože s břitovými destičkami ze slinutých karbidů
22 38;Nože s břitovými destičkami ze slinutých karbidů
22 39;Revolverové nože z rychlořezné oceli a nože tvarové
22 40;Brusivo, všeobecně
22 41;Brousicí, lešticí, lapovací prášky a pasty
22 44;Brousicí, honovací a superfinišovací kameny
22 45;Brousicí a řezací kotouče
22 46;Brousicí tělíska a diamantové lapovací a rozřezávací kotouče
22 47;Brousicí segmenty
22 48;Rotační kartáče a lešticí kotouče
22 49;Orovnávací nářadí, diamantové nástroje apod.
22 51;Sekery a různé
22 52;Pilky a pilové listy na dřevo
22 53;Pilky a pilové listy na dřevo
22 56;Vrtáky, nebozezy, záhlubníky
22 57;Frézy na dřevo
22 59;Udržovací nářadí
22 60;Lisovací nástroje, všeobecně
22 61;Nůžky, řezací kolečka, průbojníky apod.
22 62;Společné součásti střihadel
22 63;Společné součásti střihadel sdružených a ostřihovacích nástrojů
22 65;Střihadla a ostřihovadla
22 70;Nástroje na tváření za studena, všeobecně
22 71;Razidla značkovací, zdrsňovací kolečka, vyrovnávací trny
22 72;Lisovací nástroje pro tabletování
22 73;Nástroje tváření na pásy, plechy karoserie, trubky apod.
22 75;Průvlaky a tažné trny
22 81;Hlavičkáře, přítažníky, sedlíky, kovadliny, rovnací desky
22 83;Zápustky kovací a okrajovadla
22 86;Formy pro tlakové lití neželezných kovů, tváření plastů a pryže
22 88;Formy pro tlakové lití neželezných kovů, tváření plastů a pryže
22 90;Různé nástroje a nářadí
22 91;Ruční pilníky a struháky
22 92;Ruční pilníky a struháky
22 94;Škrabáky na kovy
22 96;Slévačské nářadí
23 00;Přehled, všeobecně
23 01;Kladiva a palice
23 02;Kladiva a palice pro zvláštní účely
23 03;Kleště
23 04;Hasáky a kleště pro zvláštní účely
23 05;Hasáky a kleště pro zvláštní účely
23 06;Klíče
23 07;Klíče
23 08;Šroubováky
23 14;Olejnice, mazací lisy
23 16;Montážní nářadí
23 24;Nástroje řezací, vykrajovací, hoblovací apod.
23 28;Sekáče
23 30;Kartáčnické výrobky, přehled, všeobecně
23 41;Násady, topůrka, rukojeti
23 71;Lopaty a rýče
23 72;Krumpáče a motyky
23 74;Různé nářadí pro zemědělství
23 75;Vidle, hrábě, srpy, kosy
23 78;Zednické nářadí
23 87;Nářadí pro svařování a pájení
23 90;Mechanické ruční nářadí, všeobecně
23 91;Ruční strojky (nástroje)
24 11;Vratidla a nástavce
24 12;Držáky vodicí, redukční pouzdra a nástavky pro vrtací stroje
24 13;Sklíčidla a upínací hlavy pro vrtací stroje
24 14;Trny a redukční pouzdra s příslušenstvím pro frézy
24 15;Držáky nástrojů na závity
24 21;Upínací nářadí pro revolvery a automaty, kleštinová pouzdra
24 22;Upínací nářadí pro automaty
24 23;Upínací nářadí pro různé stroje (soustruhy, frézky, obrážečky a jiné)
24 24;Upínací nářadí pro vyvrtávačky
24 31;Svěráky, svěrky, svěrací oka apod.
24 32;Upínací desky, úhelníky, skříně, stoly
24 33;Upínací hroty, unašeče, srdce, upínací trny apod. pro soustruhy a brusky
24 35;Prvky upínacích přístrojů
24 36;Prvky upínacích přístrojů
24 37;Prvky upínacích přístrojů
24 38;Sklíčidla, upínací příruby, lícní desky pro obráběcí stroje apod.
24 40;Ruční upínání obrobků
24 41;Dělicí a hrotové přístroje
24 42;Přístroje vrtací, frézovací, brousicí apod.
24 67;Upínání obrobků magnetické a elektromagnetické
24 72;Upínací držáky do vřeten NC strojů
24 73;Upínací pouzdra se stavitelnou stopkou do držáků do vřeten NC strojů
24 91;Nářadí pomocné
25 00;Všeobecně
25 01;Ověřování měřidel a měřicích zařízení všeobecně
25 02;Ověřování konkrétních měřidel a měřicích zařízení
25 09;Příslušenství měřicích přístrojů a registrační papíry
25 10;Délková měřidla
25 11;Délková měřidla
25 12;Hmatadla, posuvky apod.
25 14;Mikrometrická měřidla
25 16;Úhloměry, tloušťkoměry, spároměry a drátoměry
25 18;Číselníkové úchylkoměry a příslušenství
25 19;Měřidla pro měření přesnosti obráběcích strojů
25 20;Souřadnicové měřící stroje
25 23;Přístroje na měření geometrických vlastností povrchu
25 31;Mezní kalibry pro průměry a délkové rozměry
25 32;Mezní a porovnávací kalibry
25 33;Základní měrky a příslušenství, kuželové kalibry a kontrolní trny
25 35;Kalibry na drážkové hřídele a náboje a měřidla tvarová
25 37;Sinusová pravítka, nožová pravítka, úhelníky nožové
25 38;Šablony poloměrové, tvarové a jiné
25 40;Závitové kalibry pro lícování metrického závitu ISO
25 41;Mezní kalibry na závity
25 42;Mezní kalibry na závity
25 43;Mezní kalibry na závity
25 46;Ostatní závitová měřidla
25 47;Přístroje a zařízení k měření ozubení
25 51;Rýsovací a kontrolní nářadí
25 53;Rýsovací a kontrolní nářadí
25 55;Rýsovací a kontrolní nářadí
25 57;Vodováhy, olovnice, úhlová zrcátka
25 61;Stroje a zařízení pro měření plochy a délky
25 70;Tlakoměry, všeobecně a součásti
25 72;Tlakoměry
25 74;Analyzační zařízení
25 75;Měření objemu
25 76;Měření objemové hmotnosti a hustoty
25 77;Měření průtoku kapalin a plynů v uzavřených profilech
25 78;Měřidla na měření průtoku a množství kapalin a plynů
25 79;Viskozimetry
25 80;Teploměry všeobecně, součásti
25 81;Skleněné teploměry kapalinové
25 82;Teploměry tlakové, s kontakty a pro transformátory
25 83;Teploměry termočlánkové a odporové
25 85;Měření tepla a indikátory pro rozdělování topných nákladů
25 91;Defektoskopy
25 93;Měření průtoku kapalin v otevřených korytech
25 96;Kontrolní síta apod.
26 00;Transportní zařízení, všeobecně
26 03;Společné nosné dopravní prostředky
26 04;Řetězy a řetězová kola pro transportéry
26 06;Bezpečnostní předpisy
26 11;Válečky
26 13;Pásové dopravníky s korýtkovým dopravním profilem
26 20;Korečkové elevátory
26 25;Redlerové transportéry
26 28;Dopravní šneky
26 30;Transportéry s ocelovými a pryžovými pásy
26 31;Transportéry s ocelovými a pryžovými pásy
26 32;Transportéry s pryžovými pásy, lehké provedení
26 35;Článkové transportéry
26 37;Laťkové transportéry
26 40;Poháněné závěsové tratě
26 41;Zařízení pro plynulou dopravu kusových břemen
26 45;Válečkové tratě gravitační
26 46;Skluzy, tobogány
26 47;Kladičkové tratě
26 57;Vibrační dopravníky
26 61;Podavače
26 62;Uzávěry
26 64;Podavače šnekové
26 70;Nakladače, vykladače, výklopníky, všeobecně
26 71;Nakladače, vykladače, výklopníky, všeobecně
26 72;Nakladače, vykladače, výklopníky, všeobecně
26 74;Regálové zakladače
26 75;Prostředky lidové zábavy
26 76;Paletovací a odpaletovací stroje
26 86;Dopravní vozíky a tahače, všeobecně, ruční vozíky
26 88;Vozíky s pohonem
26 89;Vozíky s pohonem, vlečné vozíky, součásti a příslušenství
26 90;Manipulace s materiálem, všeobecně
26 91;Palety, přepravky, regály
26 93;Palety, přepravky, regály
26 94;Pracovní plošiny manipulační
26 95;Regály
26 96;Skladová technika. Regály
26 97;Vyrovnávací můstky
26 98;Nákupní vozíky
27 00;Dopravní zařízení, všeobecně
27 01;Dopravní zařízení, všeobecně
27 02;Jeřáby mostové, sloupové, portálové a konzolové
27 03;Jeřáby mostové, sloupové, portálové a konzolové
27 05;Jeřáby různých konstrukcí
27 06;Zdvihadla, kladkostroje
27 08;Stojanové zvedáky
27 15;Pojezdná kola a příslušenství
27 18;Lanové bubny a kladky
27 19;Háky, pojistný materiál, koncové narážky
27 20;Součásti jeřábových drah
27 24;Názvosloví konstrukčních dílců jeřábových drah
27 30;Visuté lanové dráhy osobní
27 32;Visuté lanové dráhy nákladní
27 33;Dopravní pásy pro přepravu osob
27 36;Lanové jeřáby a shrnovače
27 37;Lyžařské vleky
27 38;Důlní lanové dráhy
27 39;Lyžařské vleky
27 40;Výtahy, všeobecně
27 41;Výtahy. Pohyblivé schody a pohyblivé chodníky. Elektromagnetická kompatibilita
27 42;Výtahy - Hluk
27 43;Šachty a strojovny výtahů
27 44;Stavební výtahy
27 46;Výtahy, provoz
27 48;Šachty a strojovny výtahů
27 50;Pohyblivé plošiny
27 54;Parkovací systémy
27 60;Prostředky lidové zábavy
27 63;Vytvářecí, formovací a zhutňovací zařízení pro výrobu silikátových dílců
27 70;Rýpadla a zakladače
27 74;Stroje a zařízení pro zemní, stavební a silniční práce. Terminologie
27 75;Stroje a zařízení pro zemní práce. Parametry, požadavky, měření a zkoušení
27 76;Stroje a zařízení pro zemní práce. Parametry, požadavky, měření a zkoušení
27 78;Stroje a zařízení pro zemní práce. Provoz a údržba
27 79;Stroje a zařízení pro zemní práce. Bezpečnostní požadavky
27 80;Stroje a zařízení pro zemní, stavební a silniční práce. Všeobecná ustanovení
27 81;Stroje a zařízení pro zemní práce. Součásti, díly a komponenty
27 82;Stroje a zařízení pro zemní práce. Nakladače, dampry, skrejpry, grejdry a pokladače potrubí
27 83;Pojízdné stroje pro stavbu vozovek
27 84;Stroje a zařízení pro zhutňování, dopravu a třídění materiálu
27 85;Stroje a zařízení pro výrobu směsí pro stavebnictví
27 86;Stroje a zařízení pro zpracování stavebních materiálů
27 87;Stroje pro výrobu stavebních výrobků
27 88;Stroje a provozy pro výrobu, zpracování a úpravu skla
27 89;Víceúčelové stroje a zařízení pro zemní, stavební a silniční práce
27 91;Drtiče nerostných materiálů
28 00;Třídění, přehledy, pojmy
28 01;Technické dodací předpisy vozidel
28 03;Výpočty, konstrukční směrnice
28 05;Pojezdy a podvozky
28 07;Cisternové vozy
28 09;Nákladní vozy
28 10;Stroje a zařízení pro stavbu a údržbu kolejí
28 11;Průmyslové elektrické lokomotivy
28 13;Vozidla městské dopravy
28 15;Vnitřní prostředí kolejových vozidel
28 17;Průmyslové vozy (hutní, stavební, důlní apod.)
28 19;Aerodynamika
28 38;Táhlové a narážecí ústrojí, spřáhla ruční a samočinná
28 40;Brzdová soustava
28 42;Vypružení
28 72;Osvětlení, vytápění a klimatizace, příslušenství
29 30;Šroubení
29 91;Výhybky
30 00;Silniční vozidla, všeobecně
30 01;Symboly, značení
30 02;Vozidla pro dopravu osob
30 03;Vozidla nákladní pro zvláštní účely
30 04;Traktory, kolopásová a pásová vozidla, předpisy
30 05;Zkoušky vozidel, měření spotřeby, jízdní vlastnosti
30 06;Silniční dopravní telematika
30 07;Konstrukční směrnice a předpisy
30 08;Hrdla palivových nádrží
30 10;Zátky, pera apod.
30 13;Zátky, pera apod.
30 15;Pouzdra, ložiska, klouby, objímky apod.
30 20;Motory, všeobecně
30 21;Písty, pístní čepy
30 22;Klikové a rozvodové ústrojí
30 23;Vstřikovací zařízení, karburátory, čištění paliva a oleje
30 24;Vstřikovací zařízení, karburátory, čištění paliva a oleje
30 26;Chlazení
30 31;Spojky
30 32;Klouby, hřídele apod.
30 33;Součásti ovládání a řízení
30 34;Brzdy kapalinové, vzduchové
30 35;Brzdy kapalinové, vzduchové
30 36;Spojení tahače a přívěsu
30 37;Ráfky, kola
30 38;Ventily duší a pneumatik
30 40;Elektrická výstroj, všeobecně
30 41;Zapalovací soustava
30 42;Spouštěče, dynama, elektromotorky
30 43;Světlomety a svítilny
30 44;Pojistky, spínače, spojení a svorkovnice
30 45;Vysokonapěťové součástky
30 46;Stěrače, houkačky a přerušovače
30 47;Odrušovací součástky
30 50;Měřicí přístroje, všeobecně
30 51;Elektrické měřicí přístroje
30 52;Mechanické zvedáky a příslušenství
30 70;Traktory, všeobecně a součásti
30 72;Terénní vozidla
30 74;Rám a příslušenství přívěsů
30 76;Motocykly, součásti
30 90;Jízdní kola
30 94;Jízdní kola
30 95;Jízdní kola
30 97;Jízdní kola
31 00;Všeobecně. Terminologie, rozdělení letadel apod.
31 01;Letadlo všeobecně (rozměry, hmotnosti, letové vlastnosti a výkony)
31 02;Veličiny a jednotky, standardní atmosféra, symboly
31 03;Hluk a emise letadel
31 04;Zabezpečení jakosti, způsobilost výrobků, značení
31 05;Kosmonautika
31 10;Výkresová, výrobní a provozní dokumentace (úprava, archivace, značení výrobků apod.)
31 12;Nerozebíratelné spoje
31 15;Hydraulické a pneumatické soustavy a prvky
31 17;Elektrické a elektronické soustavy a prvky
31 18;Elektrické a elektronické soustavy a prvky
31 19;Optická vlákna a kabely
31 20;Kovové materiály. Všeobecně, zkoušení, výběry
31 21;Oceli. Technické specifikace
31 23;Hliník, hořčík a jejich slitiny. Technické specifikace
31 24;Hliník, hořčík a jejich slitiny. Materiálové listy
31 25;Titan a slitiny titanu
31 26;Těžké neželezné kovy. Pájky
31 27;Hutní výrobky pro letectví. Rozměry
31 30;Spojovací a konstrukční součásti. Všeobecné požadavky
31 31;Šrouby
31 32;Šrouby, matice a podložky
31 33;Matice
31 34;Spojovací součásti bez závitu
31 35;Pojišťovací prvky
31 36;Uzávěry, víka, kryty
31 37;Lana, koncovky lan, napínáky
31 38;Šroubení, potrubí, hadice
31 39;Nerozebíratelné stroje
31 41;Držáky a svěrky
31 42;Letectví a kosmonautika. Závitová pozdra
31 43;Nýty
31 45;Mechanické převody
31 47;Táhla a jejich příslušenství
31 48;Kluzná ložiska
31 49;Valivá ložiska
31 55;Elektrické a elektronické systémy a prvky pohonných jednotek
31 57;Přístroje a příslušenství
31 62;Drak, konstrukce draku
31 64;Přistávací zařízení, odmrazování
31 68;Palubní přístrojové, komunikační a navigační vybavení
31 70;Nekovové materiály. Obecně, zkoušení, výběry apod.
31 71;Elastomery a těsnící materiály
31 73;Termoplasty a transparentní materiály
31 75;Lepidla
31 76;Vyztužené plasty, kompozity
31 77;Vyztužené plasty, kompozity
31 79;Barvy pro nátěry (barvy, laky, ředidla, rozpouštědla apod.)
31 80;Technologické a zkušební postupy, bezpečnost práce
31 82;Povrchová ochrana a příprava povrchu, včetně zpevňování
31 83;Povrchová ochrana a příprava povrchu, včetně zpevňování
31 89;Mazadla a mazací systémy
31 90;Letecká doprava osob
31 91;Letecká doprava zboží
31 93;Pozemní provozní zařízení
31 95;Zařízení pro odledňování
31 98;Pozemní provozní a zabezpečovací zařízení
32 00;Lodě a plovoucí zařízení. Všeobecné normy
32 01;Lodní těleso
32 02;Směrnice pro konstrukci plavidel
32 08;Parametry plavidel. Malá plavidla
32 10;Lodní těleso. Všeobecně
32 11;Konstrukce lodního trupu
32 12;Konstrukce lodních nástaveb
32 18;Kotevní řetězy
32 22;Lodní dveře
32 23;Lodní zábradlí
32 24;Lodní průlezy, poklopy a víka
32 26;Lodní pevná výstroj
32 27;Lodní pevná výstroj
32 30;Lodní palubní a hospodářská zařízení
32 31;Lodní palubní a hospodářská zařízení
32 32;Lodní palubní a hospodářská zařízení
32 33;Uvazovací a manipulační zařízení
32 34;Lodní palubní a hospodářská zařízení
32 35;Lodní palubní stěžňová zařízení
32 39;Lodní hospodářská a technologická zařízení
32 40;Lodní propulzní, pomocná a speciální zařízení
32 41;Hlavní stroje a motory
32 42;Dálkové ovládání pomocného zařízení
32 45;Lodní propulzní, pomocná a speciální zařízení
32 50;Lodní potrubní soustavy
32 51;Lodní potrubní soustavy
32 52;Lodní potrubní soustavy
32 54;Lodní potrubní soustavy
32 55;Lodní potrubní soustavy
32 57;Lodní potrubní soustavy
32 59;Větrací a klimatizační soustavy
32 60;Lodní elektrozařízení
32 63;Zdroje elektrické energie
32 66;Elektroinstalace na lodích
32 67;Lodní elektrozařízení
32 68;Slaboproudé rozvody a zařízení
32 80;Lodní inventář
32 82;Kotevní inventář
32 83;Uvazovací a vlečný inventář a výstroj
32 84;Lodní inventář
32 85;Navigační inventář
32 86;Záchranné prostředky
32 89;Inventář dílen, strojoven a místností
32 95;Příchytky, konzoly, držáky
33 00;Terminologie - Mezinárodní slovník
33 01;Jmenovité hodnoty a značení předmětů
33 02;Základní požadavky na materiály
33 03;Prostředí pro elektrická zařízení
33 04;Koordinace izolace
33 05;Bezpečnost elektrických zařízení
33 06;Bezpečnost elektrických zařízení
33 13;Bezpečnost zacházení s elektrickým zařízením
33 15;Revize elektrických zařízení
33 16;Revize elektrických předmětů a zařízení
33 20;Společné zařizovací předpisy
33 21;Společné zřizovací předpisy
33 22;Zařizovací předpisy pro elektrická zařízení strojů
33 23;Elektrická zařízení v různých prostředích
33 24;Elektrická zařízení v různých objektech
33 25;Zařízení pro sklady; jeřáby a výtahy
33 26;Zařízení akumulátoroven
33 30;Zařizovací předpisy pro silová zařízení
33 31;Výrobny elektrické energie
33 32;Rozvodná zařízení a elektrické stanice
33 33;Rozvod elektrické energie
33 34;Odběr elektrické energie
33 35;Elektrická dopravní zařízení
33 40;Sdělovací zařízení a vedení
33 41;Radiokomunikační zařízení. Bezpečnost rádiových vysílačů
33 42;Ochrana radiového příjmu před rušením
33 45;Elektrická řídicí zařízení
33 46;Operativní řízení provozu
33 47;Automatizace dodávky elektrické energie s použitím vf přenosových systémů po distribučním vedení
33 48;Komunikační sítě a systémy v podřízených stanicích
33 49;Rozhraní aplikačního programu pro systémy řízení elektrické energie (EMS-API)
33 50;Elektrotepelná zařízení
33 60;Technologie palivových článků
34 01;Povrchové cesty a vzdušné vzdálenosti
34 03;Pohyblivé přívody a šňůrová vedení
34 04;Elektrické spoje a svorky
34 08;Ultrazvuková zařízení a hydrofony
34 10;Obyčejná elektrická zařízení
34 13;Zvláštní elektrická zařízení
34 14;Elektrická zařízení v dolech
34 15;Elektrická dopravní a trakční zařízení
34 16;Elektrická zařízení v těžkých provozech
34 17;Zařízení s roentgeny a radioaktivními látkami
34 20;Ochrana sdělovacích zařízení před rušením
34 21;Elektrická nadzemní sdělovací vedení
34 23;Vnitřní sdělovací rozvody
34 25;Rozhlas po vedení
34 26;Železniční zabezpečovací zařízení
34 27;Požární signalizace a dorozumívací zařízení
34 28;Předpisy pro odrušení
34 30;Elektrická bezpečnost ve zvláštních podmínkách
34 31;Práce na elektrických zařízeních a vedeních
34 32;Obsluha točivých strojů a transformátorů
34 33;Návody k obsluze a rozmrazování potrubí
34 35;Bezpečnostní tabulky a nápisy
34 38;Ruční lisovací nástroje k zakončení elektrických kabelů
34 51;Terminologie v elektrotechnice
34 53;Řady napětí a kmitočtů
34 55;Značky nahrazující nápisy
34 56;Zkoušení a měření
34 57;Zkoušky vlivu vnějších činitelů prostředí
34 58;Magnetické součástky a měření
34 59;Materiály pro elektroniku
34 62;Izolační soustavy
34 63;Keramické a skleněné izolační materiály
34 64;Zkoušky elektroizolačních materiálů
34 65;Elektroizolační materiály
34 66;Slídové výrobky pro elektrotechniku
34 67;Elektroizolační kapaliny
34 70;Zkoušení vodičů a kabelů
34 71;Vodiče a kabely v podmínkách požáru
34 72;Jádra kabelů
34 73;Vodiče pro vinutí
34 74;Silové vodiče
34 75;Šňůry a vodiče pro zvláštní účely
34 76;Silové kabely
34 77;Sdělovací vodiče a šňůry, nf, vf a koaxiální kabely
34 78;Nf, přístrojové, návěstní a dálkové sdělovací kabely
34 79;Vlnovody s příslušenstvím, letecké kabely
34 80;Izolátory, všeobecně
34 81;Izolátory vn, vvn a zvláštní
34 82;Stožáry pro vedení
34 83;Zvláštní stožáry
34 84;Součásti venkovních vedení do 1 kV
34 85;Konce izolátorových podpěr nn a vn
34 86;Armatury a součásti venkovních vedení
34 87;Armatury venkovních vedení
34 90;Silnoproudé kabelové soubory
34 92;Armatury trakčních a trolejových vedení
34 93;Armatury trolejových vedení
34 94;Armatury trolejových vedení
34 01;Povrchové cesty a vzdušné vzdálenosti
34 03;Pohyblivé přívody a šňůrová vedení
34 04;Elektrické spoje a svorky
34 08;Ultrazvuková zařízení a hydrofony
34 10;Obyčejná elektrická zařízení
34 13;Zvláštní elektrická zařízení
34 14;Elektrická zařízení v dolech
34 15;Elektrická dopravní a trakční zařízení
34 16;Elektrická zařízení v těžkých provozech
34 17;Zařízení s roentgeny a radioaktivními látkami
34 20;Ochrana sdělovacích zařízení před rušením
34 21;Elektrická nadzemní sdělovací vedení
34 23;Vnitřní sdělovací rozvody
34 25;Rozhlas po vedení
34 26;Železniční zabezpečovací zařízení
34 27;Požární signalizace a dorozumívací zařízení
34 28;Předpisy pro odrušení
34 30;Elektrická bezpečnost ve zvláštních podmínkách
34 31;Práce na elektrických zařízeních a vedeních
34 32;Obsluha točivých strojů a transformátorů
34 33;Návody k obsluze a rozmrazování potrubí
34 35;Bezpečnostní tabulky a nápisy
34 38;Ruční lisovací nástroje k zakončení elektrických kabelů
34 51;Terminologie v elektrotechnice
34 53;Řady napětí a kmitočtů
34 55;Značky nahrazující nápisy
34 56;Zkoušení a měření
34 57;Zkoušky vlivu vnějších činitelů prostředí
34 58;Magnetické součástky a měření
34 59;Materiály pro elektroniku
34 62;Izolační soustavy
34 63;Keramické a skleněné izolační materiály
34 64;Zkoušky elektroizolačních materiálů
34 65;Elektroizolační materiály
34 66;Slídové výrobky pro elektrotechniku
34 67;Elektroizolační kapaliny
