01;OBECNÁ TŘÍDA
49 60;Stroje a jiná zařízení na obrábění a zpracování dřeva a výrobků ze dřeva
49 61;Bezpečnostní a hygienické předpisy
49 62;Kontrola, přesnost a zkoušení strojů a jiných zařízení používaných při obrábění dřeva a výrobků ze dřeva
49 63;Dřevozpracující zařízení
49 66;Konstrukce, rozměry a parametry strojů aj. zařízení na obrábění dřeva a výrobků ze dřeva
49 68;Konstrukce, rozměry a parametry strojů aj. zařízení na obrábění dřeva a výrobků ze dřeva
50 00;Výrobky průmyslu papírenského, všeobecně
50 02;Vlákniny, zkoušení
50 03;Papíry, zkoušení
50 04;Papíry, zkoušení
50 05;Chemické rozbory
50 12;Vlákniny, sběrový papír
50 13;Ruční a strojní lepenky a lepenky pro elektrotechniku
50 19;Vlákniny, sběrový papír
50 21;Tiskové papíry a kartóny
50 24;Obalové papíry
50 26;Papíry pro elektrotechniku
50 28;Technické, průmyslové a surové papíry
50 31;Ruční a strojní lepenky
50 32;Ruční a strojní lepenky
50 33;Korkové tapety
50 34;Tapety a papíry zušlechtěné
50 35;Lepenky zušlechtěné
50 36;Lepenky krytinové a izolační
50 50;Kartonáž
50 53;Kartonáž
50 56;Ostatní obaly a obalové prostředky
50 57;Ostatní obaly a obalové prostředky
50 58;Ostatní obaly a obalové prostředky
50 62;Knihařské výrobky
50 64;Poštovní obálky a hygienické papíry
50 70;Strojní zařízení pro výrobu papíru
51 10;Zařízení pro podniky veřejného stravování
51 20;Potravinářské stroje. Bezpečnostní a hygienické požadavky
51 25;Pekařské stroje
51 30;Stroje na zpracování masa
51 35;Nářezové stroje
51 40;Stroje pro velkokuchyně
51 45;Odstředivky na zpracování jedlých olejů a tuků
51 50;Stroje na těstoviny
51 55;Chladící tanky na mléko na farmě
52 70;Zařízení pro nápojový průmysl a obchodní provozovny
53 31;Stroje na zpracování masa
56 00;Metody zkoušení a společná ustanovení
56 01;Metody zkoušení a společná ustanovení
56 02;Metody zkoušení a společná ustanovení
56 03;Metody zkoušení zmrazených výrobků
56 04;Metody zkoušení ovocných a zeleninových výrobků
56 05;Metody zkoušení mlýnských obilných výrobků a luštěnin
56 06;Metody zkoušení a společná ustanovení
56 07;Mlýnské výrobky, luštěniny a rýže
56 09;Těstoviny
56 10;Pekárenské výrobky
56 11;Pekařské výrobky
56 26;Cukrářské výrobky
56 27;Trvanlivé pečivo
56 34;Kakaový prášek, kakaové máslo
56 35;Čokoláda a čokoládové cukrovinky
56 38;Čokoládové cukrovinky
56 47;Nečokoládové cukrovinky
56 57;Cukr
56 58;Melasa
56 61;Škrob a výrobky ze škrobu
56 62;Dextriny
56 63;Ostatní výrobky škrobáren
56 66;Pivo, slad a sladařské výrobky
56 68;Droždí a kvasnice
56 70;Lihoviny. Společná ustanovení
56 72;Lihovarské výrobky
56 77;Vína
56 78;Bylinná a ovocná vína, ocet, voda, limonády
56 79;Nealkoholické nápoje v prášku
56 81;Suché plody, sušené ovoce, zmrazené ovoce
56 82;Výrobky z ovoce - ovocné šťávy, polotovary
56 83;Výrobky z ovoce - mrazené, tekuté ovoce a zelenina
56 84;Výrobky z ovoce - sirupy
56 85;Výrobky z ovoce - ovocné šťávy
56 86;Výrobky z ovoce - marmelády, džemy a rosoly
56 87;Výrobky z ovoce - kompoty
56 90;Sterilovaná kojenecká a dětská výživa
56 91;Výrobky ze zeleniny - zmrazená zelenina
56 92;Sterilovaná, nakládaná a sušená zelenina
56 93;Ostatní výrobky ze zeleniny
56 94;Sušené a sterilované houby
56 95;Tabákové výrobky
56 96;Pravidla správné hygienické a výrobní praxe
56 97;Éterické oleje
56 98;Vonné a chuťové látky pro potraviny
56 99;Geneticky modifikované potraviny
57 00;Obecně, značení, balení, doprava, skladování, vzorkování
57 01;Metody zkoušení
57 04;Včelí med
57 05;Mléko
57 06;Tekuté výrobky z mléka - kysané výrobky, smetana
57 07;Tekuté výrobky z mléka - zahuštěné mléko, kakaové mléko
57 08;Mléko sušené a sušené mléčné výrobky
57 10;Metody zkoušení sýrů
57 11;Tvaroh a sýry
57 12;Sýry plísňové
57 13;Tavené sýry
57 14;Ostatní mléčné výrobky, jogurt, kasein apod.
57 15;Mražené výrobky z mléka a smetany
57 16;Máslo
57 21;Vejce konzumní
57 23;Výrobky z vajec
57 30;Drůbež celá a porcovaná, čerstvá a mražená
57 31;Drůbeží polotovary, společná ustanovení
57 32;Drůbeží polotovary, uzené a vařené výrobky z drůbežího masa
57 50;Výrobky z mořských ryb
57 60;Maso a masné výrobky
57 63;Střeva, měchýře, krev a jiné technické suroviny
57 65;Maso výsekové, čerstvé, opracované
57 70;Uzená masa, šunka
57 71;Uzeniny, drobné uzenářské výrobky
57 72;Uzeniny, salámy
57 73;Cikánská a debrecínská pečeně
57 74;Vařené masné výrobky
57 76;Sterilované pokrmy - konzervy
57 78;Zmrazené hotové pokrmy
58 01;Metody zkoušení
58 02;Rostlinné tuky a oleje
58 03;Tuky živočišného původu
58 04;Čaj
58 05;Koření
58 07;Polévkové přípravky a dehydrované pokrmy
58 09;Sůl, přípravky k nakládání
58 13;Káva, kávoviny, hořčice
58 36;Hotová jídla - pro veřejné stravování
58 70;Majonézy, krémy, pěny a pomazánky
58 80;Polotovary z masa
58 87;Sypké cereální směsi. Metody zkoušení tuků a olejů
58 88;Metody zkoušení tuků a olejů
62 00;Pryž, všeobecně
62 11;Chemické zkoušky pryže
62 14;Fyzikální zkoušky pryže
62 15;Fyzikální zkoušky pryže
62 20;Materiálové listy pryže
62 30;Kaučuky
63 00;Pryžové výrobky, všeobecně
63 01;Pryžové výrobky, všeobecně
63 10;Pneumatiky, všeobecně
63 11;Pláště pro dopravní prostředky
63 12;Pláště pro dopravní prostředky
63 13;Pláště pro dopravní prostředky
63 14;Duše do plášťů pro dopravní prostředky
63 15;Zkoušení pneumatik
63 19;Opravy plášťů
63 30;Pryžové výrobky pro technickou potřebu
63 38;Pryžové výrobky pro technickou potřebu
63 52;Pryžové a plastové hadice bez koncovek
63 53;Hadice
63 54;Pryžové a plastové hadice s koncovkami
63 58;Pryžové pružiny
63 65;Výrobky z tvrdé pryže
63 70;Ochranné prostředky
63 74;Ochranné rukavice z pryže
64 00;Plasty. Všeobecně
64 01;Zkoušky tuhých nekovových materiálů
64 02;Zkoušení plastů a výrobků z plastů
64 03;Zkoušení plastů a výrobků z plastů
64 04;Požárně technické vlastnosti
64 05;Zkoušení plastů a výrobků z plastů
64 06;Zkoušení plastů a výrobků z plastů
64 07;Zkoušení plastů a výrobků z plastů
64 08;Zkoušení plastů a výrobků z plastů
64 09;Plasty. Ionexy. Metody zkoušení
64 12;Nenasycené polyesterové pryskyřice
64 13;Epoxidové pryskyřice
64 14;Alkydové pryskyřice
64 15;Fenolické pryskyřice
64 16;Aminové pryskyřice
64 20;Tvrditelné lisovací hmoty
64 21;Tvrditelné lisovací hmoty
64 22;Plasty. Lisovací hmoty práškové
64 23;Tvrditelné lisovací hmoty
64 24;Plasty. Polyuretany
64 26;Plasty. Styrenové polymery
64 27;Styrenové polymery
64 28;Plasty. Styrenové polymery
64 30;Termoplasty a výrobky (polotovary) z termoplastu
64 31;Plastové rozvodné a ochranné potrubní systémy
64 32;Termoplasty a výrobky (polotovary) z termoplastu
64 33;Termoplasty a výrobky (polotovary) z termoplastu
64 34;Termoplasty a výrobky (polotovary) z termoplastu
64 35;Termoplasty a výrobky (polotovary) z termoplastu
64 36;Termoplasty a výrobky (polotovary) z termoplastu
64 38;Fluoroplasty
64 39;Ostatní vinylové polymery
64 40;Vrstvené hmoty, lamináty
64 41;Termoplastické polyestery
64 42;Vrstvené hmoty, lamináty
64 43;Plasty. Deriváty celulózy
64 44;Plasty. Polykarbonáty
64 45;Uhlíková vlákna
64 51;Polyfenylenethery
64 54;Zkoušení lehčených hmot
64 55;Lehčené plasty
64 57;Ostatní plasty
64 60;Fólie z rozvětveného polyetylénu
64 62;Fólie z neměkčeného polyvinylchloridu
64 63;Polykarbonátové folie
64 64;Plastové potrubní systémy
64 67;Fólie z polypropylénu
64 68;Fólie viskózové
64 69;Ostatní polotovary a výrobky z plastů
64 70;Syntetické usně
64 71;Materiály a předměty z plastů ve styku s potravinami
64 75;Vrstvené hmoty, lamináty
64 76;Výztuže. Vlákna
64 78;Výztuže. Tkaniny
64 86;Lepidla
64 90;Vodné disperze polymerů a kopolymerů
64 93;Kompozity. Zkoušení vlastností
65 01;Výrobky chemického průmyslu, všeobecné a bezpečnostní předpisy
65 02;Výrobky chemického průmyslu, všeobecné a bezpečnostní předpisy
65 03;Zkušební metody
65 05;Vzorkování, balení, značení
65 10;Anorganické výrobky, kyseliny, zásady, kysličníky, všeobecně
65 11;Kyseliny anorganické
65 12;Kyseliny anorganické
65 13;Zásady anorganické technické
65 14;Zásady anorganické technické
65 15;Kysličníky anorganické technické
65 17;Kysličníky anorganické technické
65 20;Soli anorganické, technické
65 21;Soli anorganické, technické
65 22;Soli anorganické, technické
65 23;Soli anorganické, technické
65 24;Soli anorganické, technické
65 25;Soli anorganické, technické
65 26;Soli anorganické, technické
65 28;Soli anorganické, technické
65 29;Soli anorganické, technické
65 31;Soli anorganické, technické
65 33;Soli anorganické, technické
65 34;Soli anorganické, technické
65 35;Soli anorganické, technické
65 41;Soli odrezovací, žíhací, kalicí
65 43;Plyny technické a ostatní
65 44;Plyny technické a ostatní
65 46;Výrobky anorganické, bělicí prostředky
65 48;Průmyslová hnojiva a ostatní anorganické výrobky
65 49;Průmyslová hnojiva a ostatní anorganické výrobky
65 57;Výrobky chemického průmyslu, pesticidy
65 60;Ropné výrobky všeobecně a zkušební metody společné více skupinám výrobků
65 61;Zkušební metody pro světlé ropné produkty
65 62;Zkušební metody pro ropné oleje
65 63;Zkušební metody pro plastická maziva (Zkušební metody pro mazací tuky)
65 64;Uhlovodíkové plyny a uhlovodíkové plyny zkapalněné, jakost a zkušební metody
65 65;Motorová paliva a ostatní výrobky, jakost
65 66;Minerální oleje, jakost
65 68;Minerální oleje, jakost
65 69;Plastická maziva (Mazací tuky)
65 70;Zkušební metody pro asfalty a asfaltové výrobky
65 71;Modifikované asfalty, jakost a zkušební metody
65 72;Asfalty a ostatní výrobky
65 73;Různé výrobky ropného průmyslu
65 79;Topné oleje
65 80;Dehty a výrobky z dehtu, jakost a zkušební metody
65 81;Deriváty z pyrolýzy uhlí
65 83;Dehty a výrobky z dehtu, jakost a zkušební metody
65 84;Dehty a výrobky z dehtu, jakost a zkušební metody
65 85;Výrobky získané destilací dřeva
65 87;Polotovary pro výrobu barviv, báze naftalenová
65 90;Organická barviva. Všeobecně a zkušební metody
65 92;Sirná barviva
65 95;Organická barviva ostatní
65 96;Organické pigmenty a laky organických barviv
65 97;Organické pigmenty a laky organických barviv
66 01;Uhlovodíky hydrované, chlorované a alkoholy jednomocné a vícemocné
66 02;Estery, étery, acetáty
66 06;Změkčovadla a zvláčňovadla
66 07;Včelí vosk technický
66 08;Etylalkohol
66 11;Uhlovodíky apod.
66 12;Alkoholy jednomocné i vícemocné
66 13;Alkoholy jednomocné i vícemocné, glyceriny
66 14;Aldehydy mastné, kyseliny mastné apod.
66 15;Aldehydy mastné, kyseliny mastné apod.
66 17;Sloučeniny řady kyanové a substituované deriváty kyseliny uhličité, močovina apod.
66 18;Ostatní alifatické sloučeniny
66 19;Estery monokarbonových a polykarbonových kyselin
66 21;Uhlovodíky a deriváty řady benzenové
66 22;Uhlovodíky řady naftalenové, substituované a vícejaderné
66 23;Fenoly s benzenovým jádrem
66 25;Nitrované aromatické uhlovodíky
66 27;Kyseliny aromatické, estery, aminy apod.
66 33;Anhydridy substituované, kyseliny monokarbonové a vícekarbonové
66 38;Sloučeniny heterocyklické
66 40;Farmacie všeobecně
66 41;Léčiva humánní všeobecně
66 45;Léčiva humánní všeobecně
66 50;Chemické dezinfekční přípravky
66 52;Chemické dezinfekční přípravky
66 55;Farmacie, dezinfekční přípravky
66 56;Polotovary pro farmacii
66 57;Přípravky na ochranu rostlin, antiparazitní prostředky
66 60;Přípravky pro průmysl hutní, textilní, gumárenský a koželužský
66 61;Přípravky pro průmysl hutní, textilní, gumárenský a koželužský
66 63;Přípravky pro průmysl hutní, textilní, gumárenský a koželužský
66 64;Fotografie
66 65;Fotografické materiály a fotochemické výrobky
66 66;Fotochemické výrobky
66 67;Fotografické materiály.Bezpečnostní požadavky a požadavky z hlediska životního prostředí.
66 68;Fotografie. Požadavky na uložení
66 69;Fotografické materiály
66 80;Výbušiny a pyrotechnika
66 81;Výbušiny a pyrotechnika
66 82;Výbušiny a pyrotechnika
66 83;Zábavná pyrotechnika
66 84;Adsorpční látky
66 85;Lepidla
66 86;Lepidla
66 87;Konstrukční lepidla
66 89;Brzdové a mrazuvzdorné kapaliny
67 00;Nátěrové hmoty. Názvosloví
67 05;Nátěrové hmoty, zkušební metody surovin
67 06;Nátěrové hmoty, ropa a podobné výrobky
67 08;Nátěrové hmoty, zkušební metody surovin
67 13;Pigmenty
67 14;Pigmenty
67 20;Nátěrové hmoty. Všeobecné a společné
67 30;Nátěrové hmoty a elektroizolační laky, všeobecně a zkoušení
67 31;Nátěrové hmoty a elektroizolační hmoty, všeobecně a zkoušení
67 32;Nátěrové hmoty olejové, bezbarvé a transparentní
67 33;Nátěrové hmoty olejové, pigmentové
67 34;Nátěrové hmoty olejové, pigmentové
67 35;Nátěrové hmoty olejové, pigmentové
67 36;Olejová ředidla, sušidla, tmely a plniče
67 38;Nátěrové hmoty syntetické, bezbarvé a transparentní
67 39;Nátěrové hmoty syntetické, pigmentované
67 43;Nátěrové hmoty nitrocelulózové, asfaltové a dehtové
67 44;Nátěrové hmoty nitrocelulózové, asfaltové a dehtové
67 45;Nátěrové hmoty nitrocelulózové, asfaltové a dehtové
67 46;Nátěrové hmoty nitrocelulózové, asfaltové a dehtové
67 47;Nátěrové hmoty nitrocelulózové, asfaltové a dehtové
67 56;Pasty brusné a lešticí
67 58;Ředidla
67 60;Tiskařské barvy a jejich zkoušení
67 95;Frity smaltéřské
68 11;Mýdla, tenzidy a detergenty
68 15;Kosmetika, vonné kompozice
68 20;Výrobky pro zvláštní průmyslové účely
68 40;Čisté chemikálie a činidla, všeobecně
68 41;Čisté chemikálie a činidla. Zkušební metody
68 42;Čisté chemikálie a činidla anorganická, písmeno "a"
68 43;Čisté chemikálie a činidla anorganická, písmeno "b"
68 44;Čisté chemikálie a činidla anorganická, písmeno "c", "d", "e"
68 45;Čisté chemikálie anorganické, písmeno "f", "g"
68 46;Čisté chemikálie anorganické, písmeno "f", "g"
68 47;Čisté chemikálie anorganické, písmeno "h", "ch"
68 48;Čisté chemikálie anorganické, písmeno "h", "ch"
68 49;Čisté chemikálie anorganické, písmeno "i", "j"
68 50;Čisté chemikálie anorganické, písmeno "k", "l", "m"
68 51;Čisté chemikálie anorganické, písmeno "k", "l", "m"
68 52;Čisté chemikálie anorganické, písmeno "n", "o", "p", "r"
68 53;Čisté chemikálie anorganické, písmeno "s", "t", "u"
68 54;Čisté chemikálie anorganické, písmeno "s", "t", "u"
68 55;Čisté chemikálie anorganické, písmeno "s", "t", "u"
68 60;Čisté chemikálie organické, písmeno "a", "b"
68 61;Čisté chemikálie organické, písmeno "c", "d"
68 62;Čisté chemikálie organické, písmeno "e", "f", "g", "h", "ch"
68 63;Čisté chemikálie organické, písmeno "i", "j", "k", "l", "m"
68 64;Čisté chemikálie organické, písmeno "i", "j", "k", "l", "m"
68 65;Čisté chemikálie organické, písmeno "n", "o"
68 66;Čisté chemikálie organické, písmeno "p", "r", "s", "š"
68 68;Čisté chemikálie organické, cukry
68 69;Čisté chemikálie organické, indikátory
68 71;Činidla
68 73;Indikátorové papírky
69 00;Názvosloví, předpisy, značky
69 02;Konstrukční směrnice a základní údaje
69 06;Příruby
69 07;Pojistné, zabezpečovací, kontrolní, měřicí, regulační části a zařízení
69 08;Obslužné konstrukce nádob
69 10;Mechanická míchadla a míchací zařízení
69 12;Stroje pro zpracování pryže a plastických hmot
69 13;Hnětací a válcové stroje
69 16;Rozmělňovací a rozvlákňovací stroje
69 17;Stroje licí, tvářecí, nanášecí, dokončovací
69 18;Stroje pro gumárenskou a plastikářskou technologii
69 19;Stroje vyfukovací
69 25;Pojistné membrány
69 26;Odstředivky
69 34;Nádobí kolonového typu
69 49;Předpisy pro zařízení na výrobu plynu
69 51;Odparky
69 52;Jednoduché netopené tlakové nádoby
69 60;Výměníky tepla
69 61;Výměníky tepla s trubkovým svazkem ocelové
69 63;Výměníky tepla. Instalace, provoz, údržba a zkoušení
69 68;Části výměníků (hady, trubkové soustavy aj.)
69 72;Kryogenické nádoby
69 79;Vyvíječe
69 80;Uskladňovací nádrže a nádoby
69 81;Nadzemní uskladňovací nádrže s plochým dnem
69 82;Ocelové nádrže
69 83;Tlakové nádoby, součásti
69 84;Jednorázově plnitelné tlakové nádoby na přepravu zkapalněných uhlovodíkových plynů
69 88;Součásti nádob
69 89;Sklolaminátové uskladňovací nádrže
69 90;Nádrže pro přepravu nebezpečného zboží
69 91;Příslušenství k nádržím a benzinovým čerpacím stanicím
70 00;Názvosloví sklářského průmyslu
70 05;Zkušební metody skla
70 06;Zkušební metody skla
70 10;Sklo ve stavebnictví
70 13;Ploché sklo
70 15;Bezpečnostní sklo
70 16;Skleněná vlákna a výrobky z nich
70 18;Výrobky z tavených hornin
70 21;Sklo pro elektrotechniku a osvětlování
70 26;Sklo pro elektrotechniku a osvětlování
70 27;Sklo pro elektrotechniku a osvětlování
70 30;Obalové sklo
70 31;Nápojové sklo
70 32;Konzervové sklo
70 33;Sklo pro zdravotnictví a farmaceutický průmysl
70 34;Obalové sklo pro kosmetiku
70 35;Obalové sklo velké
70 36;Obalové sklo ostatní
70 40;Laboratorní sklo
70 41;Odměrné sklo
70 42;Laboratorní přístroje a jejich součásti
70 43;Sklo pro laboratoře
70 44;Sklo pro laboratoře
70 45;Skleněné armatury, potrubí a tvarovky
70 46;Nádoby pro technické účely
70 48;Slinuté skleněné filtry
70 52;Výrobky z křemenného skla
70 71;Sklo ochranné a polooptické
70 77;Sklo ochranné a polooptické
70 80;Sklo užitkové
70 81;Sklo užitkové
70 83;Sklo užitkové
70 90;Bižuterie a jiné ozdobnické výrobky
70 94;Kovové polotovary pro bižuterii
71 01;Materiálové listy skel (dříve Optická skla, TP a měření)
71 40;Materiálové listy pro laboratorní a technická skla
72 00;Všeobecně
72 01;Základní zkušební metody pro silikáty
72 05;Geologie a petrografie, všeobecně
72 10;Zeminy, popisy a klasifikace
72 11;Zkušební metody hornin a zemin
72 12;Horniny stejnorodé, složené ze zrn jednoho nerostu
72 13;Horniny složené, žula apod.
72 14;Přírodní a umělý kámen
72 15;Nerosty nerudné, kameniva, zeminy, tuha
72 16;Nerosty nerudné, tuha, grafit
72 17;Nerosty nerudné, písky, kaoliny, kameniva a zeminy, tuha, slída, azbest
72 18;Lomařské a kamenické výrobky (z přírodního kamene) pro stavebnictví
72 19;Nerosty nerudné, kazivec, těživec
72 20;Strusky, škváry, popílky a křemičitý úlet
72 21;Pojiva na bázi cementu
72 22;Pojiva na bázi vápna
72 23;Přísady a pomocné látky k pojivům, tmely
72 24;Malty, maltové směsi, potěry
72 25;Stavební prvky z přírodního kamene
72 26;Cihlářské pálené výrobky
72 27;Pomocné výrobky pro zděné konstrukce
72 29;Vláknocementové trouby a tvarovky
72 30;Betonové a železobetonové prvky a dílce
72 31;Betonové a železobetonové trouby a tvarovky
72 32;Betonové dlaždice a betonová krytina
72 33;Stavební dílce speciální
72 34;Vláknocementové výrobky
72 36;Stavební dílce pro svislé konstrukce
72 37;Stavební prvky a dílce pro vodorovné konstrukce
72 43;Stavební materiály. Zkoušení odolnosti
72 47;Keramické výrobky - kachle
72 48;Keramické výrobky - zdravotnická keramika
72 50;Keramické materiály pro elektrotechniku
72 51;Stavební keramika
72 52;Keramika kanalizační, hospodářská a chemická
72 55;Porcelán užitkový, ozdobný, jemná keramika
72 56;Porcelán laboratorní a chemický
72 57;Keramické výrobky pro elektrotechniku
72 60;Žárovzdorné výrobky, všeobecně
72 61;Žárovzdorné výrobky šamotové, dinasové, tuhové a speciální
72 62;Žárovzdorné tvarovky
72 65;Žárovzdorné výrobky basické, jakost
72 70;Izolační materiály a výrobky všeobecně
72 71;Vnější tepelně izolační kompozitní systémy
72 72;Izolační materiály a výrobky směsové
72 73;Izolační materiály a výrobky z minerálních a přírodních vláken
72 75;Speciální technická keramika
72 76;Hydroizolační pásy a fólie
72 80;Stavební výrobky, posuzování uvolňování nebezpečných látek
72 91;Drtiče a podavače nerostných hmot
72 92;Mlýny na nerostné hmoty
72 93;Třídiče a odlučovače nerostných hmot
73 00;Navrhování staveb, všeobecně
73 02;Geometrická přesnost staveb
73 03;Stavební fyzika - Teplo
73 04;Geodetické práce
73 05;Stavební fyzika (akustika, teplo, denní osvětelní)
73 06;Ochrana staveb proti vodě
73 08;Požární bezpečnost staveb
73 09;Udržitelnost staveb
73 10;Zakládání staveb, navrhování
73 11;Zděné konstrukce, navrhování
73 12;Betonové konstrukce, navrhování
73 13;Beton a betonové konstrukce, zkoušení
73 14;Kovové konstrukce, navrhování
73 15;Kovové konstrukce, navrhování
73 16;Konstrukce z plastů, navrhování
73 17;Dřevěné konstrukce, navrhování
73 18;Zakládání staveb, zkoušení
73 19;Střechy, navrhování
73 20;Stavební konstrukce a dílce, navrhování a zkoušení
73 21;Sanace betonových konstrukcí
73 22;Kanalizační práce
73 23;Zděné konstrukce, provádění a zkoušení
73 24;Betonové konstrukce, provádění
73 25;Stavební konstrukce, zkoušení povrchu
73 26;Kovové konstrukce, provádění
