"Katalog";"Označení";"Označení změny";"Název";"Třídící znak";"Věstník vydání";""
87930;"ČSN EN ISO 19146";;"Geografická informace - Mezidoménové slovníky";979846;"IV.11";""
"Katalog";"Označení";"Označení změny";"Název";"Třídící znak";"Věstník vydání";"datum";""
65905;"ČSN ISO 1087-2";;"Terminologická práce - Slovník - Část 2: Počítačové aplikace";10501;"XII.02";""
63471;"ČSN ISO 1087-1";;"Terminologická práce - Slovník - Část 1: Teorie a aplikace";10501;"XII.02";""
68212;"ČSN ISO 15188";;"Směrnice pro management projektu normalizace terminologie";10504;"IX.03";""
69198;"ČSN ISO 704";;"Terminologická práce - Principy a metody";10505;"II.04";""
71561;"ČSN ISO 12616";;"Terminografie zaměřená na překlad";10506;"XI.04";""
71856;"ČSN ISO 16642";;"Počítačové aplikace v terminologii - Systém pro značkování terminologie";10507;"I.05";""
75637;"ČSN ISO 12200";;"Počítačové aplikace v terminologii - Strojově snímatelný formát pro výměnu terminologie (MARTIF) - Dohodnutá výměna";10508;"V.06";""
87374;"ČSN EN 13306";;"Údržba - Terminologie údržby";10660;"II.11";""
64858;"ČSN 01 1600";;"Akustika - Terminologie";11600;"II.03";""
69196;"ČSN ISO 13473-2";;"Popis textury vozovky pomocí profilů povrchu - Část 2: Terminologie a základní požadavky vztahující se k analýze profilu textury vozovky";11678;"XII.03";""
91892;"ČSN EN ISO 10209";;"Technické výkresy - Terminologie - Termíny vztahující se k technickým výkresům, definici produktu a související dokumentaci";13101;"II.13";""
86519;"ČSN EN ISO 26909";;"Pružiny - Terminologie";13210;"VIII.10";""
76993;"ČSN 01 3705";;"Terminologie v oblasti informační struktury, dokumentace a grafických značek";13705;"XI.06";""
57960;"ČSN EN 1330-2";;"Nedestruktivní zkoušení - Terminologie - Část 2: Společné termíny pro metody nedestruktivního zkoušení";15005;"I.00";""
58388;"ČSN EN 1330-1";;"Nedestruktivní zkoušení - Terminologie - Část 1: Všeobecné termíny";15005;"III.00";""
68446;"ČSN EN 1330-10";;"Nedestruktivní zkoušení - Terminologie - Část 10: Termíny používané při vizuální kontrole";15005;"IX.03";""
73707;"ČSN EN 1330-7";;"Nedestruktivní zkoušení - Terminologie - Část 7: Termíny používané při zkoušení magnetickou metodou práškovou";15005;"VIII.05";""
80014;"ČSN EN 1330-11";;"Nedestruktivní zkoušení - Terminologie - Část 11: Termíny používané při rentgenové difrakci polykrystalických a amorfních materiálů";15005;"XII.07";""
90647;"ČSN EN 16018";;"Nedestruktivní zkoušení - Terminologie - Termíny používané při zkoušení ultrazvukem technikou phased array";15005;"V.12";""
86112;"ČSN EN ISO 12706";;"Nedestruktivní zkoušení - Zkoušení kapilární metodou - Terminologie";15005;"VI.10";""
86213;"ČSN EN 1330-4";;"Nedestruktivní zkoušení - Terminologie - Část 4: Termíny používané při zkoušení ultrazvukem";15005;"VII.10";""
90487;"ČSN EN 16016-1";;"Nedestruktivní zkoušení - Radiografické metody - Počítačová tomografie - Část 1: Terminologie";15036;"IV.12";""
81773;"ČSN ISO/TR 24098";;"Inteligentní dopravní systémy - Architektura systémů, taxonomie a terminologie - Postupy pro vývoj plánů instalace ITS pomocí systémové architektury ITS";18201;"IX.08";""
81777;"ČSN ISO 24531";;"Inteligentní dopravní systémy - Architektura systémů, taxonomie a terminologie - Využití XML v normách ITS, datových registrech a datových slovnících";18202;"IX.08";""
82427;"ČSN EN ISO 14814";;"Dopravní telematika - Automatická identifikace vozidel, zařízení a nákladů - Architektura a terminologie";18339;"I.09";""
92577;"ČSN EN ISO 17261";;"Inteligentní dopravní systémy (ITS) - Automatická identifikace vozidel, zařízení a nákladů - Architektura a terminologie intermodální/multimodální přepravy";18340;"IV.13";""
75907;"ČSN P CEN/TS 15213-1";;"Dopravní telematika - Část 1: Pokrádežové systémy pro navracení odcizených vozidel - Referenční architektura a terminologie";18360;"IX.06";""
88650;"ČSN ISO 1891";;"Spojovací součásti - Terminologie";21003;"VIII.11";""
64097;"ČSN EN ISO 14588";;"Trhací nýty - Terminologie a definice";22305;"III.02";""
15502;"ČSN 03 1000";;"Prevodovky s ozubenými kolesami. Terminológia";31000;"III.94";""
68118;"ČSN EN 13622";;"Zařízení pro plamenové svařování - Terminologie - Termíny používané v  plamenovém svařování";50015;"IX.03";""
59639;"ČSN EN 12584";;"Vady při řezání kyslíkem, laserem a plasmou - Terminologie";53402;"IV.01";""
86234;"ČSN EN 15270";;"Hořáky spalující pelety pro kotle malých výkonů - Terminologie, požadavky, zkoušení, značení";61231;"VII.10";""
92127;"ČSN EN 303-5";;"Kotle pro ústřední vytápění - Část 5: Kotle pro ústřední vytápění na pevná paliva, s ruční a samočinnou dodávkou, o jmenovitém tepelném výkonu nejvýše 500 kW - Terminologie, požadavky, zkoušení a značení";75303;"I.13";""
69337;"ČSN EN 303-1";"A1";"Kotle pro ústřední vytápění - Část 1: Kotle pro ústřední vytápění s hořáky s ventilátorem - Terminologie, všeobecné požadavky, zkoušení a značení";75303;"I.04";""
80526;"ČSN EN ISO 10286";;"Lahve na plyny - Terminologie";78301;"II.08";""
74374;"ČSN EN ISO 21007-1";;"Plynové lahve - Identifikace a značení s použitím vysokofrekvenční technologie - Část 1: Referenční struktura a terminologie";78512;"II.06";""
70963;"ČSN EN 12792";;"Větrání budov - Značky, terminologie a grafické značky";120001;"V.07";""
87429;"ČSN EN ISO 13349";;"Ventilátory - Terminologie a kategorizace";122001;"I.11";""
80027;"ČSN EN 14799";;"Filtry pro čištění vzduchu - Terminologie";125000;"XII.07";""
90998;"ČSN ISO 29464";;"Zařízení pro čištění vzduchu a jiných plynů - Terminologie";125300;"VIII.12";""
81893;"ČSN EN 736-3";;"Armatury - Terminologie - Část 3: Definice termínů";133001;"IX.08";""
74847;"ČSN EN 60534-1";;"Regulační armatury pro průmyslové procesy - Část 1: Terminologie pro regulační armatury a všeobecné požadavky";134510;"I.06";""
59837;"ČSN EN 61512-1";;"Dávkové řízení - Část 1: Modely a terminologie";182001;"X.00";""
82297;"ČSN EN 62264-1";;"Integrovaný systém podnikového řízení - Část 1: Modely a terminologie";182002;"XII.08";""
66244;"ČSN ISO 841";;"Systémy průmyslové automatizace a integrace - Číslicové řízení strojů - Souřadnicový systém a terminologie pohybu";184303;"I.03";""
58300;"ČSN EN ISO 9787";;"Manipulační průmyslové roboty - Souřadnicové systémy a terminologie pohybů";186503;"II.00";""
69443;"ČSN EN ISO 15367-1";;"Lasery a laserová zařízení - Metody měření tvaru laserového svazku - Část 1: Terminologie a základní aspekty";192025;"VI.04";""
88422;"ČSN EN ISO 8624";;"Oční optika - Brýlové obruby - Měřicí systém a terminologie";195101;"VIII.11";""
63695;"ČSN ISO 11090-2";;"Obráběcí stroje - Podmínky zkoušek vyjiskřovacích strojů na zápustky (EDM) - Terminologie a zkoušky přesnosti - Část 2: Stroje se dvěma stojany (typ s pohyblivou hlavou a typ s křížovým stolem)";200370;"V.02";""
63694;"ČSN ISO 14137";;"Obráběcí stroje - Podmínky zkoušek drátových vyjiskřovacích strojů - Terminologie a zkoušky přesnosti";200371;"V.02";""
88488;"ČSN ISO 8695";;"Tvářecí nástroje - Střižníky - Přehled a terminologie";226330;"VII.11";""
89956;"ČSN EN ISO 772";;"Hydrometrická měření - Terminologie";259300;"II.12";""
84103;"ČSN EN 415-1+A1";;"Bezpečnost balicích strojů - Část 1: Terminologie a klasifikace balicích strojů a souvisících zařízení";267600;"IX.09";""
61029;"ČSN ISO 5053";;"Motorové manipulační vozíky - Terminologie";268801;"IV.01";""
58155;"ČSN EN 12674-1";;"Rozvážkové vozíky - Část 1: Terminologie";269820;"II.00";""
74079;"ČSN EN 1907";;"Bezpečnostní požadavky na osobní lanové dráhy - Terminologie";273002;"X.05";""
80373;"ČSN EN 15144";;"Zařízení pro zimní údržbu - Terminologie - Termíny pro zimní údržbu";277402;"II.08";""
87596;"ČSN ISO 7135";;"Stroje pro zemní práce - Hydraulická lopatová rýpadla - Terminologie a obchodní specifikace";277450;"I.11";""
72577;"ČSN ISO 15219";;"Stroje pro zemní práce - Lanová rýpadla - Terminologie a obchodní specifikace";277451;"V.05";""
80256;"ČSN EN 15429-1";;"Zametače - Část 1: Klasifikace a terminologie";277452;"IV.08";""
88088;"ČSN ISO 6747";;"Stroje pro zemní práce - Dozery - Terminologie a obchodní specifikace";278047;"V.11";""
82936;"ČSN EN 15436-1";;"Zařízení pro údržbu servisních a provozních prostor silnic - Část 1: Terminologie";278048;"III.09";""
72586;"ČSN ISO 21467";;"Stroje pro zemní práce - Horizontální směrové vrtačky - Terminologie a obchodní specifikace";278267;"V.05";""
64933;"ČSN EN 13447";;"Elektricky poháněná silniční vozidla - Terminologie";300251;"IX.02";""
93036;"ČSN EN ISO 18542-1";;"Silniční vozidla - Normalizovaná terminologie informací o opravě a údržbě (RMI) - Část 1: Obecná informace a definice případu použití (ISO 18542-1:2012)";304445;"VIII.13";""
85041;"ČSN EN 15532";;"Jízdní kola - Terminologie";309001;"IV.10";""
67955;"ČSN 31 0001";;"Letectví a kosmonautika - Terminologie";310001;"V.05";""
64505;"ČSN EN 13701";;"Kosmické systémy - Terminologie";310505;"VI.02";""
76430;"ČSN EN 3708-005";;"Letectví a kosmonautika - Systémy modulového propojení - Systémy připojení terminálů - Část 005: Rámy s příslušenstvím pro vyměnitelné moduly zpětné vazby, utěsněné a neutěsněné - Norma výrobku";311821;"XI.06";""
76431;"ČSN EN 3708-004";;"Letectví a kosmonautika - Systémy modulového propojení - Systémy připojení terminálů - Část 004: Vyměnitelné moduly zpětné vazby, neutěsněné - Norma výrobku";311821;"XI.06";""
76432;"ČSN EN 3708-003";;"Letectví a kosmonautika - Systémy modulového propojení - Systémy připojení terminálů - Část 003: Vyměnitelné moduly zpětné vazby, utěsněné - Norma výrobku";311821;"XI.06";""
76437;"ČSN EN 3708-002";;"Letectví a kosmonautika - Systémy modulového propojení - Systémy připojení terminálů - Část 002: Specifikace výkonu";311821;"XI.06";""
76438;"ČSN EN 3708-001";;"Letectví a kosmonautika - Systémy modulového propojení - Systémy připojení terminálů - Část 001: Technická specifikace";311821;"XI.06";""
77819;"ČSN EN 14255-4";;"Měření a hodnocení osobních dávek při vystavení inkoherentnímu optickému záření - Část 4: Terminologie a veličiny používané při měření dávek-UV, viditelného a infračerveného záření";360036;"VI.07";""
67423;"ČSN 36 8601";;"Audiovizuální technika - Terminologie digitálního signálu";368601;"IX.03";""
67075;"ČSN ISO/IEC 20060";;"Informační technologie - Specifikace architektury otevřeného terminálu (OTA) - Specifikace virtuálního stroje";369832;"V.03";""
62957;"ČSN ISO/IEC TR 15044";;"Informační technologie - Terminologie domácího elektronického systému (HES)";369977;"XII.01";""
15028;"ČSN ISO 7504";;"Analýza plynů. Terminologie";385501;"XII.93";""
87956;"ČSN EN ISO 28460";;"Naftový a plynárenský průmysl - Instalace a zařízení pro zkapalněný zemní plyn - Propojení tankeru se CNG terminálem a provoz terminálu";386650;"IV.11";""
88849;"ČSN EN ISO 28460";"Opr.1";"Naftový a plynárenský průmysl - Instalace a zařízení pro zkapalněný zemní plyn - Propojení tankeru s terminálem a provoz terminálu";386650;"VIII.11";""
89086;"ČSN EN 1846-1";;"Požární automobily - Část 1: Terminologie a označení";389301;"X.11";""
63983;"ČSN ISO 1213-1";;"Tuhá paliva - Terminologie - Část 1: Termíny vztahující se k úpravě uhlí";441319;"VI.02";""
60234;"ČSN EN 12325-3";;"Zavlažovací technika - Pivotové a čelní zavlažovače - Část 3: Terminologie a třídění";474020;"XI.00";""
63512;"ČSN EN 13635";;"Zavlažovací technika - Lokalizované zavlažovací systémy - Terminologie a údaje dodávané výrobcem";474050;"IV.02";""
75354;"ČSN EN 1001-1";;"Trvanlivost dřeva a materiálů na bázi dřeva - Terminologie - Část 1: Seznam ekvivalentních termínů";490001;"III.06";""
75550;"ČSN EN 1001-2";;"Trvanlivost dřeva a materiálů na bázi dřeva - Terminologie - Část 2: Slovník";490001;"IV.06";""
62788;"ČSN EN 12775";;"Desky z rostlého dřeva - Klasifikace a terminologie";490004;"IX.01";""
69705;"ČSN EN 13756";;"Dřevěné podlahoviny - Terminologie";490005;"III.04";""
72923;"ČSN EN 14076";;"Dřevěná schodiště - Terminologie";490008;"IV.05";""
60095;"ČSN EN 313-2";;"Překližované desky - Klasifikace a terminologie - Část 2: Terminologie";490013;"X.00";""
89379;"ČSN EN ISO 12625-1";;"Tissue papíry a tissue výrobky - Část 1: Všeobecný úvod do terminologie";500371;"I.12";""
88818;"ČSN 56 0634";;"Ryby a vodní živočichové - Terminologie";560634;"VIII.11";""
74401;"ČSN 63 0002";;"Gumárenská terminologie";630002;"XI.05";""
66635;"ČSN ISO 1998-5";;"Ropný průmysl - Terminologie - Část 5: Doprava, skladování, distribuce";656000;"V.03";""
66641;"ČSN ISO 1998-6";;"Ropný průmysl - Terminologie - Část 6: Měření";656000;"VIII.03";""
66642;"ČSN ISO 1998-99";;"Ropný průmysl - Terminologie - Část 99: Rejstřík";656000;"VI.03";""
66643;"ČSN ISO 1998-7";;"Ropný průmysl - Terminologie - Část 7: Různé termíny";656000;"V.03";""
60169;"ČSN ISO 1998-1";;"Ropný průmysl - Terminologie - Část 1: Suroviny a produkty";656000;"IX.01";""
60170;"ČSN ISO 1998-2";;"Ropný průmysl - Terminologie - Část 2: Vlastnosti a zkoušky";656000;"IX.01";""
60171;"ČSN ISO 1998-3";;"Ropný průmysl - Terminologie - Část 3: Průzkum a těžba";656000;"IX.01";""
60172;"ČSN ISO 1998-4";;"Ropný průmysl - Terminologie - Část 4: Rafinace";656000;"IX.01";""
61600;"ČSN EN 12597";;"Asfalty a asfaltová pojiva - Terminologie";657000;"VIII.01";""
78834;"ČSN EN 15529";;"Deriváty z pyrolýzy uhlí - Terminologie";658000;"VII.07";""
87530;"ČSN EN 15947-1";;"Pyrotechnické výrobky - Výrobky zábavní pyrotechniky, kategorie 1, 2 a 3 - Část 1: Terminologie";668300;"I.11";""
92486;"ČSN EN 16261-1";;"Pyrotechnické výrobky - Výrobky zábavní pyrotechniky kategorie 4 - Část 1: Terminologie";668301;"III.13";""
92484;"ČSN EN 16256-1";;"Pyrotechnické výrobky - Divadelní pyrotechnické výrobky - Část 1: Terminologie";668302;"III.13";""
93733;"ČSN EN ISO 14451-1";;"Pyrotechnické výrobky - Pyrotechnické výrobky pro použití ve vozidlech - Část 1: Terminologie";668303;"IX.13";""
84917;"ČSN EN ISO 28199-1";;"Nátěrové hmoty - Hodnocení vlastností nátěrových systémů v závislosti na způsobu nanášení - Část 1: Terminologie a příprava zkušebních vzorků";673131;"II.10";""
85652;"ČSN EN ISO 28199-1";"Opr.1";"Nátěrové hmoty - Hodnocení vlastností nátěrových systémů v závislosti na způsobu nanášení - Část 1: Terminologie a příprava zkušebních vzorků";673131;"VI.10";""
73593;"ČSN EN ISO 8130-14";;"Práškové nátěrové hmoty - Část 14: Terminologie";673151;"VII.05";""
72245;"ČSN EN 764-1";;"Tlaková zařízení - Část 1: Terminologie - Tlak, teplota, objem, jmenovitá světlost";690004;"II.05";""
93040;"ČSN EN 14564";;"Nádrže pro přepravu nebezpečného zboží - Terminologie";699001;"VIII.13";""
66512;"ČSN EN 12670";;"Přírodní kámen - Terminologie";721402;"IV.03";""
84900;"ČSN EN 14618";;"Umělý kámen - Terminologie a klasifikace";721449;"I.10";""
82716;"ČSN EN 1094-1";;"Žárovzdorné výrobky izolační - Část 1: Terminologie, klasifikace a metody zkoušení žárovzdorných izolačních vláknitých výrobků";726080;"I.09";""
80935;"ČSN EN ISO 9229";;"Tepelné izolace - Terminologie";727000;"VI.08";""
82337;"ČSN P ISO 6707-1";;"Pozemní a inženýrské stavby - Terminologie - Část 1: Obecné termíny";730000;"I.09";""
85549;"ČSN 73 0020";;"Terminologie spolehlivosti stavebních konstrukcí a základových půd";730020;"IV.10";""
72308;"ČSN 73 0540-1";;"Tepelná ochrana budov - Část 1: Terminologie";730540;"VI.05";""
89342;"ČSN 73 1289";;"Terminologie v oboru pórobetonu";731289;"XI.11";""
88246;"ČSN 73 6200";;"Mosty - Terminologie a třídění";736200;"VII.11";""
87605;"ČSN EN 1317-1";;"Silniční záchytné systémy - Část 1: Terminologie a obecná kritéria pro zkušební metody";737001;"II.11";""
69201;"ČSN EN 523";;"Hadice z ocelového pásku pro předpínací výztuž - Terminologie, požadavky, řízení jakosti";742880;"XII.03";""
67727;"ČSN EN 12216";;"Okenice, vnější a vnitřní clony - Terminologie, slovník odborných výrazů a definice";746024;"VIII.03";""
71752;"ČSN EN 12519";;"Okna a dveře - Terminologie";746032;"XI.04";""
60681;"ČSN EN 12433-1";;"Vrata - Terminologie - Část 1: Typy vrat";747014;"II.01";""
60682;"ČSN EN 12433-2";;"Vrata - Terminologie - Část 2: Části vrat";747014;"II.01";""
80141;"ČSN EN 13119";;"Lehké obvodové pláště - Terminologie";747200;"XII.07";""
66845;"ČSN 75 0101";;"Vodní hospodářství - Základní terminologie";750101;"IX.03";""
82818;"ČSN 75 0101";"Z1";"Vodní hospodářství - Základní terminologie";750101;"IV.09";""
61483;"ČSN 75 0102";;"Vodní hospodářství - Terminologie v hydromechanice";750102;"VI.01";""
85352;"ČSN 75 0110";;"Vodní hospodářství - Terminologie hydrologie a hydrogeologie";750110;"IV.10";""
82819;"ČSN 75 0120";;"Vodní hospodářství - Terminologie hydrotechniky";750120;"VI.09";""
16797;"ČSN 75 0145";;"Meliorace. Terminologie v pedologii";750145;"XII.94";""
58914;"ČSN 75 0146";;"Lesnickotechnické meliorace - Terminologie";750146;"VIII.00";""
80793;"ČSN 75 0150";;"Vodní hospodářství - Terminologie vodárenství";750150;"V.08";""
92177;"ČSN 75 0150";"Z1";"Vodní hospodářství - Terminologie vodárenství";750150;"II.13";""
81756;"ČSN 75 0161";;"Vodní hospodářství - Terminologie v inženýrství odpadních vod";750161;"X.08";""
