"Katalog";"Označení";"Označení změny";"Název";"Třídící znak";"Věstník vydání";""
92176;"ČSN 75 0161";"Z1";"Vodní hospodářství - Terminologie v inženýrství odpadních vod";750161;"II.13";""
83833;"ČSN P CEN/TS 99001";;"Podpora podnikání - Podpůrné služby poskytované malým podnikům - Terminologie, kvalita a provádění služby";761001;"VIII.09";""
70411;"ČSN EN ISO 18513";;"Služby cestovního ruchu - Hotely a ostatní kategorie turistického ubytování - Terminologie";761101;"VI.04";""
69434;"ČSN EN 13809";;"Služby cestovního ruchu - Cestovní agentury a cestovní kanceláře (touroperátoři) - Terminologie";761201;"I.04";""
81802;"ČSN EN 15602";;"Poskytovatelé bezpečnostních služeb - Terminologie";761701;"IX.08";""
93066;"ČSN EN 16310";;"Inženýrské služby - Terminologie popisující inženýrské služby pro budovy, infrastrukturu a průmyslová zařízení";763301;"IX.13";""
93067;"ČSN EN 16311";;"Inženýrské služby - Terminologie popisující inženýrské služby pro průmyslové produkty";763302;"IX.13";""
74060;"ČSN 77 0001";"Z1";"Obalová technika - Terminologie";770001;"IX.05";""
16978;"ČSN 77 0002";;"Balicí stroje. Terminologie";770002;"I.95";""
61737;"ČSN EN 13193";;"Obaly - Obaly a životní prostředí - Terminologie";770003;"VI.01";""
68630;"ČSN EN 14182";;"Obaly - Terminologie - Základní termíny a definice";770004;"XI.03";""
85113;"ČSN EN 12374";;"Obaly - Flexibilní tuby - Terminologie";770010;"I.10";""
69040;"ČSN EN ISO 15867";;"Středně velké obaly (IBC) pro jiné než nebezpečné zboží - Terminologie";770614;"XII.03";""
63070;"ČSN EN 12481";;"Samolepicí pásky - Terminologie";770860;"XI.01";""
62387;"ČSN 77 1002-2";;"Balení - Rozměrová koordinace - Část 2: Terminologie";771002;"VIII.01";""
89532;"ČSN EN 15987";;"Usně - Terminologie - Základní definice pro obchod s usněmi";790015;"XII.11";""
67759;"ČSN EN 13360";;"Textilie povrstvené pryží nebo plasty - Terminologie";804632;"VII.03";""
70273;"ČSN EN 374-1";;"Ochranné rukavice proti chemikáliím a mikroorganismům - Část 1: Terminologie a požadavky na provedení";832310;"V.04";""
78373;"ČSN EN 13832-1";;"Obuv chránící před chemikáliemi - Část 1: Terminologie a metody zkoušení";832520;"IV.07";""
58025;"ČSN EN 1070";;"Bezpečnost strojních zařízení - Terminologie";833000;"IV.00";""
83831;"ČSN EN 614-1+A1";;"Bezpečnost strojních zařízení - Ergonomické zásady navrhování - Část 1: Terminologie a všeobecné zásady";833501;"VII.09";""
63497;"ČSN EN ISO 9241-1";"A1";"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 1: Obecný úvod";833582;"XII.01";""
58476;"ČSN EN ISO 9241-12";"Opr.1";"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 12: Zobrazení informací";833582;"II.00";""
59344;"ČSN EN ISO 9241-14";;"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 14: Vedení dialogu s použitím menu";833582;"VI.00";""
59345;"ČSN EN ISO 9241-16";;"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 16: Vedení dialogu pomocí přímé manipulace";833582;"VII.00";""
63056;"ČSN EN ISO 9241-4";"Opr.1";"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 4: Požadavky na klávesnice";833582;"X.01";""
58411;"ČSN EN ISO 9241-13";"Opr.1";"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 13: Vedení uživatelů";833582;"II.00";""
60785;"ČSN EN ISO 9241-9";;"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 9: Požadavky na vstupní zařízení - s výjimkou klávesnic";833582;"XII.00";""
60043;"ČSN EN ISO 9241-6";;"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 6: Požadavky na pracovní prostředí";833582;"X.00";""
83166;"ČSN EN ISO 9241-302";;"Ergonomie systémových interakcí člověka - Část 302: Terminologie pro elektronické zobrazovací displeje";833582;"V.09";""
91104;"ČSN EN 1540";;"Expozice pracoviště - Terminologie";833610;"IX.13";""
88311;"ČSN EN 14588";;"Tuhá biopaliva - Terminologie, definice a popis";838200;"VI.11";""
92266;"ČSN EN 16214-1";;"Kritéria udržitelnosti pro výrobu biopaliv a biokapalin pro energetické využití - Zásady, kritéria, ukazatele a ověřovatelé - Část 1: Terminologie";838260;"II.13";""
88984;"ČSN EN 15357";;"Tuhá alternativní paliva - Terminologie, definice a popis";838300;"IX.11";""
58601;"ČSN IEC 788";"Opr.1";"Lékařská radiologie - Terminologie";840003;"IV.00";""
89224;"ČSN EN ISO 9999";;"Pomůcky pro osoby se zdravotním postižením - Klasifikace a terminologie";841001;"XII.11";""
83422;"ČSN EN ISO 9170-2";;"Terminální jednotky pro potrubní rozvody medicinálních plynů - Část 2: Terminální jednotky pro systémy odvodu anestetického plynu";852761;"V.09";""
83424;"ČSN EN ISO 9170-1";;"Terminální jednotky pro potrubní rozvody medicinálních plynů - Část 1: Terminální jednotky pro stlačené medicinální plyny a podtlak";852761;"V.09";""
83425;"ČSN EN ISO 15002";;"Přístroje k měření průtoku pro připojení k terminálním jednotkám potrubních rozvodů medicinálních plynů";852765;"V.09";""
60418;"ČSN ISO/IEC 16509";;"Informační technologie - Terminologie roku 2000";979705;"XII.00";""
85256;"ČSN P ISO/TS 19104";;"Geografická informace - Terminologie";979823;"III.10";""
80484;"ČSN EN 15521";;"Zdravotnická informatika - Struktura kategorií pro terminologii anatomie člověka";980018;"VII.08";""
58744;"ČSN ENV 12611";;"Zdravotnická informatika - Hlavní pojmové třídy společné struktury terminologických systémů - Zdravotnické prostředky";981002;"VIII.00";""
91899;"ČSN EN ISO 1828";;"Kategoriální struktura pro terminologické systémy chirurgických zákroků";981020;"II.13";""
71010;"ČSN EN ISO 18104";;"Zdravotnická informatika - Integrace modelu referenční terminologie pro ošetřování";981022;"VIII.04";""
89990;"ČSN ISO/HL7 27951";;"Zdravotnická informatika - Služby společné terminologie, 1. vydání";981028;"II.12";""
"Katalog";"Označení";"Označení změny";"Název";"Třídící znak";"Věstník vydání";"Datum zrušení"
63520;"ČSN ISO 832";;"Informace a dokumentace - Bibliografický popis a citace - Pravidla zkracování bibliografických termínů";10149;"XII.01";""
85042;"ČSN ISO 3534-1";;"Statistika - Slovník a značky - Část 1: Obecné statistické termíny a termíny používané v pravděpodobnosti";10216;"IV.10";""
89899;"ČSN ISO 7626-1";;"Vibrace a rázy - Experimentální určování mechanické pohyblivosti - Část 1: Základní termíny a definice, specifikace snímačů";11416;"I.12";""
87572;"ČSN P CEN ISO/TS 27687";;"Nanotechnologie - Termíny a definice nanoobjektů - Nanočástice, nanovlákno a nanodeska";12011;"III.11";""
91892;"ČSN EN ISO 10209";;"Technické výkresy - Terminologie - Termíny vztahující se k technickým výkresům, definici produktu a související dokumentaci";13101;"II.13";""
74581;"ČSN EN 61360-4 ed. 2";;"Normalizované typy datových prvků s klasifikačním schématem pro elektrické komponenty - Část 4: Seznam odkazů IEC na normalizované typy datových prvků, třídy komponentů a termíny";13720;"XII.05";""
59783;"ČSN EN ISO 14660-1";;"Geometrické požadavky na výrobky (GPS) - Geometrické prvky - Část 1: Všeobecné termíny a definice";14121;"X.00";""
85084;"ČSN EN ISO 4287";"A1";"Geometrické požadavky na výrobky (GPS) - Struktura povrchu: Profilová metoda - Termíny, definice a parametry struktury povrchu";14450;"II.10";""
92012;"ČSN EN ISO 25178-2";;"Geometrické specifikace produktu (GPS) - Textura povrchu: Plocha - Část 2: Termíny, definice a parametry textury povrchu";14451;"XII.12";""
59525;"ČSN EN ISO 8785";;"Geometrické požadavky na výrobky (GPS) - Nedokonalosti povrchu - Termíny, definice a parametry";14456;"VIII.00";""
57960;"ČSN EN 1330-2";;"Nedestruktivní zkoušení - Terminologie - Část 2: Společné termíny pro metody nedestruktivního zkoušení";15005;"I.00";""
58388;"ČSN EN 1330-1";;"Nedestruktivní zkoušení - Terminologie - Část 1: Všeobecné termíny";15005;"III.00";""
86213;"ČSN EN 1330-4";;"Nedestruktivní zkoušení - Terminologie - Část 4: Termíny používané při zkoušení ultrazvukem";15005;"VII.10";""
90647;"ČSN EN 16018";;"Nedestruktivní zkoušení - Terminologie - Termíny používané při zkoušení ultrazvukem technikou phased array";15005;"V.12";""
80014;"ČSN EN 1330-11";;"Nedestruktivní zkoušení - Terminologie - Část 11: Termíny používané při rentgenové difrakci polykrystalických a amorfních materiálů";15005;"XII.07";""
84581;"ČSN EN 1330-9";;"Nedestruktivní zkoušení - Terminologie - Část 9: Termíny používané při zkoušení akustickou emisí";15005;"XII.09";""
73707;"ČSN EN 1330-7";;"Nedestruktivní zkoušení - Terminologie - Část 7: Termíny používané při zkoušení magnetickou metodou práškovou";15005;"VIII.05";""
68446;"ČSN EN 1330-10";;"Nedestruktivní zkoušení - Terminologie - Část 10: Termíny používané při vizuální kontrole";15005;"IX.03";""
73377;"ČSN ISO 1132-1";;"Valivá ložiska - Tolerance - Část 1: Termíny a definice";24602;"VI.05";""
57898;"ČSN EN ISO 8044";;"Koroze kovů a slitin - Základní termíny a definice";38001;"I.00";""
73221;"ČSN EN ISO 17659";;"Svařování - Vícejazyčný slovník termínů svarových spojů se zobrazením";50008;"VI.05";""
69698;"ČSN EN 1792";;"Svařování - Vícejazyčný seznam termínů ze svařování a příbuzných procesů";50009;"IV.04";""
68118;"ČSN EN 13622";;"Zařízení pro plamenové svařování - Terminologie - Termíny používané v  plamenovém svařování";50015;"IX.03";""
93655;"ČSN EN ISO 17769-2";;"Kapalinová čerpadla a čerpací zařízení - Obecné termíny, definice, veličiny, písemné značky a jednotky - Část 2: Čerpací systém";110001;"VIII.13";""
93658;"ČSN EN ISO 17769-1";;"Kapalinová čerpadla a čerpací zařízení - Obecné termíny, definice, veličiny, písemné značky a jednotky - Část 1: Kapalinová čerpadla";110001;"VIII.13";""
81893;"ČSN EN 736-3";;"Armatury - Terminologie - Část 3: Definice termínů";133001;"IX.08";""
86111;"ČSN EN 15714-1";;"Průmyslové armatury - Pohony - Část 1: Termíny a definice";133096;"VI.10";""
78583;"ČSN EN 15218";;"Klimatizátory vzduchu a jednotky pro chlazení kapalin s odpařovacími  kondenzátory a s elektricky poháněnými kompresory pro chlazení prostoru - Termíny, definice, zkušební podmínky, zkušební metody a požadavky";143000;"V.07";""
90511;"ČSN EN 14511-1";;"Klimatizátory vzduchu, jednotky pro chlazení kapalin a tepelná čerpadla s elektricky poháněnými kompresory pro ohřívání a chlazení prostoru - Část 1: Termíny a definice";143010;"V.12";""
74721;"ČSN EN ISO 11807-2";;"Integrovaná optika - Slovník - Část 2: Termíny používané pro klasifikaci";193002;"XII.05";""
74722;"ČSN EN ISO 11807-1";;"Integrovaná optika - Slovník - Část 1: Základní termíny a symboly";193002;"XII.05";""
75770;"ČSN EN ISO 7998";;"Oční optika - Brýlové obruby - Seznam ekvivalentních termínů a slovník";195100;"V.06";""
77935;"ČSN EN ISO 21183-2";;"Lehké dopravní pásy - Část 2: Přehled ekvivalentních termínů";260392;"VI.07";""
87268;"ČSN EN 15878";;"Ocelové statické skladovací systémy - Termíny a definice";269638;"I.11";""
92345;"ČSN EN ISO 6165";;"Stroje pro zemní práce - Základní typy - Identifikace, termíny a definice";277400;"IV.13";""
80373;"ČSN EN 15144";;"Zařízení pro zimní údržbu - Terminologie - Termíny pro zimní údržbu";277402;"II.08";""
86362;"ČSN ISO 10263-1";;"Stroje pro zemní práce - Prostředí v kabině obsluhy - Část 1: Termíny a definice";277963;"VII.10";""
67689;"ČSN EN 13878";;"Obytná vozidla pro volný čas - Termíny a definice";300010;"VIII.03";""
90001;"ČSN EN 12665";;"Světlo a osvětlení - Základní termíny a kritéria pro stanovení požadavků na osvětlení";360001;"III.12";""
89794;"ČSN CLC/TS 61836";;"Solární fotovoltaické energetické systémy - Termíny, definice a značky";364600;"III.12";""
92696;"ČSN EN 13237";;"Prostředí s nebezpečím výbuchu - Termíny a definice pro zařízení a ochranné systémy určené pro použití v prostředí s nebezpečím výbuchu";389631;"IV.13";""
71126;"ČSN EN 10266";;"Ocelové trubky, tvarovky a konstrukční duté profily - Symboly a definice termínů  pro použití v normách na výrobky";420048;"IX.04";""
68320;"ČSN EN 14057";;"Olovo a slitiny olova - Odpady - Termíny a definice";421377;"IX.03";""
73314;"ČSN EN 12258-2";;"Hliník a slitiny hliníku - Termíny a definice - Část 2: Chemický rozbor";421403;"VI.05";""
69556;"ČSN EN 12258-3";;"Hliník a slitiny hliníku - Termíny a definice - Část 3: Odpad";421403;"II.04";""
73562;"ČSN EN 12258-4";;"Hliník a slitiny hliníku - Termíny a definice - Část 4: Odpad hliníkárenského průmyslu";421403;"VII.05";""
92230;"ČSN EN 12258-1";;"Hliník a slitiny hliníku - Termíny a definice - Část 1: Obecné termíny";421403;"III.13";""
63983;"ČSN ISO 1213-1";;"Tuhá paliva - Terminologie - Část 1: Termíny vztahující se k úpravě uhlí";441319;"VI.02";""
72969;"ČSN 46 3090";;"Doporučené termíny a definice vad pro normy na suché ovoce (ořechy ve skořápce a jádra ořechů) a na sušené ovoce";463090;"V.05";""
29029;"ČSN 46 5330";;"Ochrana prírody. Pozemky. Termíny a definície v oblasti rekultivácie pozemkov";465330;;""
73517;"ČSN ISO 6814";;"Lesnické stroje - Mobilní a samojízdné stroje - Termíny, definice a třídění";476000;"VII.05";""
75354;"ČSN EN 1001-1";;"Trvanlivost dřeva a materiálů na bázi dřeva - Terminologie - Část 1: Seznam ekvivalentních termínů";490001;"III.06";""
89533;"ČSN EN 131-1+A1";;"Žebříky - Část 1: Termíny, typy, funkční rozměry";493830;"XII.11";""
29562;"ČSN 57 6010";;"Maso a masné výrobky. Termíny a definice";576010;;""
73181;"ČSN 63 1001";;"Pneumatiky - Termíny a definice";631001;"VI.05";""
69699;"ČSN EN 12944-3";;"Hnojiva a materiály k vápnění půd - Slovník - Část 3: Termíny vztahující se k materiálům pro vápnění půd";654800;"III.04";""
64244;"ČSN EN 12944-1";;"Hnojiva a materiály k vápnění půd - Slovník - Část 1: Všeobecné termíny";654800;"V.02";""
64245;"ČSN EN 12944-2";;"Hnojiva a materiály k vápnění půd - Slovník - Část 2: Termíny vztahující se ke hnojivům";654800;"V.02";""
66643;"ČSN ISO 1998-7";;"Ropný průmysl - Terminologie - Část 7: Různé termíny";656000;"V.03";""
82159;"ČSN EN 923+A1";;"Lepidla - Termíny a definice";668501;"XI.08";""
62968;"ČSN EN 12701";;"Strukturní lepidla - Skladování - Definice termínů vztahujících se k době zpracovatelnosti strukturních lepidel a příbuzných materiálů";668580;"I.02";""
80231;"ČSN EN ISO 4618";;"Nátěrové hmoty - Termíny a definice";670010;"II.08";""
78877;"ČSN EN ISO 16773-1";;"Nátěrové hmoty - Elektrochemická impedanční spektroskopie pro vzorky s povlaky s vysokou impedancí - Část 1: Termíny a definice";673006;"X.07";""
73453;"ČSN EN ISO 8655-1";;"Pístové objemové odměrné přístroje - Část 1: Termíny, všeobecné požadavky a doporučení pro uživatele";704255;"VII.05";""
83689;"ČSN EN ISO 8655-1";"Opr.1";"Pístové objemové odměrné přístroje - Část 1: Termíny, všeobecné požadavky a doporučení pro uživatele";704255;"VIII.09";""
86043;"ČSN EN 14232";;"Speciální technická keramika - Termíny, definice a zkratky";727500;"V.10";""
82337;"ČSN P ISO 6707-1";;"Pozemní a inženýrské stavby - Terminologie - Část 1: Obecné termíny";730000;"I.09";""
77506;"ČSN EN 14383-1";;"Prevence kriminality - Plánování městské výstavby a navrhování budov - Část 1: Definice specifických termínů";734400;"I.07";""
77518;"ČSN ISO 20252";;"Studie trhu, veřejného mínění a sociální studie - Požadavky na služby, termíny a definice";761601;"XI.07";""
78741;"ČSN EN 15221-1";;"Facility management - Část 1: Termíny a definice";762001;"VI.07";""
73938;"ČSN 77 0000";;"Obaly - Základní termíny";770000;"IX.05";""
68630;"ČSN EN 14182";;"Obaly - Terminologie - Základní termíny a definice";770004;"XI.03";""
67351;"ČSN EN ISO 105-A08";;"Textilie - Zkoušky stálobarevnosti - Část A08: Slovník termínů používaných při měření barevnosti";800195;"VI.03";""
75367;"ČSN EN ISO 10318";;"Geosyntetika - Termíny a definice";806172;"III.06";""
68787;"ČSN EN ISO 1107";;"Rybářské sítě - Síťovina - Základní termíny a definice";806417;"X.03";""
74312;"ČSN EN 1885 + A1";;"Peří a prachové peří - Termíny a definice";808806;"X.05";""
83059;"ČSN EN 1005-1+A1";;"Bezpečnost strojních zařízení - Fyzická výkonnost člověka - Část 1: Termíny a definice";833503;"IV.09";""
60646;"ČSN ISO 10075";"Z1";"Ergonomické zásady ve vztahu k mentální pracovní zátěži. Všeobecné termíny a definice";833572;"XI.00";""
85046;"ČSN EN ISO 15883-1";;"Mycí a dezinfekční zařízení - Část 1: Všeobecné požadavky, termíny, definice a zkoušky";847150;"I.10";""
90436;"ČSN EN ISO 18113-1";;"Diagnostické zdravotnické prostředky in vitro - Informace poskytované výrobcem (označování štítky) - Část 1: Termíny, definice a obecné požadavky";857027;"IV.12";""
77600;"ČSN ISO 12637-1";;"Technologie grafické výroby - Slovník - Část 1: Základní termíny";883001;"I.07";""
91163;"ČSN EN 15898";;"Ochrana kulturního dědictví - Základní obecné termíny a definice";961509;"VIII.12";""
92783;"ČSN EN ISO/IEC 19762-1";;"Informační technologie - Automatická identifikace a techniky sběru dat (AIDC) - Harmonizovaný slovník - Část 1: Obecné termíny vztahující se k AIDC";977126;"VI.13";""
85856;"ČSN EN 13606-3";;"Zdravotnická informatika - Přenos elektronických zdravotních záznamů - Část 3: Referenční archetypy a seznamy termínů";981015;"VIII.10";""

